arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,bus_speed,num-cpus,runtime
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,1,19737.1067
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,10,19753.7671
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,11,19914.6709
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,12,19790.0728
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,2,19892.6874
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,3,19892.5611
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,4,20250.1416
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,5,19903.0335
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,6,20365.7783
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,7,19706.743
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,8,19907.1711
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4096,9,19911.2251
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4096,1,24604.0011
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4096,2,25360.792
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4096,3,25475.4289
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4096,4,25375.0844
IntelCorei56500_DDR42400_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,4096,1,27563.4778
IntelCorei56500_DDR42400_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,4096,2,24821.9275
IntelCorei56500_DDR42400_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,4096,3,27754.0645
IntelCorei56500_DDR42400_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,4096,4,25810.5721
IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,1024,1,32587.6988
IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,1024,2,27765.4474
IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,1024,3,25711.4458
IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,1024,4,31146.6738
IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,4096,1,31203.0301
