arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,bus_speed,no_of_procs,runtime
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,1,13.1245
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,2,10.6263
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,3,9.38095
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,4,9.97341
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,5,10.8699
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,6,10.1124
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,7,9.68295
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,8,10.8658
IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,1,11.9247
IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,2,10.6877
IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,3,10.8716
IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,4,10.3605
IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,5,11.1951
IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,6,11.4462
IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,7,11.5805
IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,8,11.9838
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,1,7.45311
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,10,5.53144
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,11,5.53487
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,12,5.54888
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,2,5.82996
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,3,5.5768
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,4,5.4748
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,5,5.43311
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,6,5.42215
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,7,5.66214
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,8,5.64431
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,9,5.59431
QcomCortexA53_LPDDR3533_1GB,1.2,ARM,1,64,1,8,8,64,1,128,0,0,0,0,1,LPDDR3,533,4,0,1,105.015
QcomCortexA53_LPDDR3533_1GB,1.2,ARM,1,64,1,8,8,64,1,128,0,0,0,0,1,LPDDR3,533,4,0,2,59.3175
QcomCortexA53_LPDDR3533_1GB,1.2,ARM,1,64,1,8,8,64,1,128,0,0,0,0,1,LPDDR3,533,4,0,3,45.7977
QcomCortexA53_LPDDR3533_1GB,1.2,ARM,1,64,1,8,8,64,1,128,0,0,0,0,1,LPDDR3,533,4,0,4,39.9553
QcomCortexA53_LPDDR3533_1GB,1.2,ARM,1,64,1,8,8,64,1,128,0,0,0,0,1,LPDDR3,533,4,0,5,58.8648
QcomCortexA53_LPDDR3533_1GB,1.2,ARM,1,64,1,8,8,64,1,128,0,0,0,0,1,LPDDR3,533,4,0,6,51.8836
QcomCortexA53_LPDDR3533_1GB,1.2,ARM,1,64,1,8,8,64,1,128,0,0,0,0,1,LPDDR3,533,4,0,7,48.892
QcomCortexA53_LPDDR3533_1GB,1.2,ARM,1,64,1,8,8,64,1,128,0,0,0,0,1,LPDDR3,533,4,0,8,41.3835
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,1,9.76765
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,10,2.12072
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,11,2.21247
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,12,2.04142
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,13,2.61434
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,14,2.56044
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,15,3.79372
