,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,dijkstra_physical,"[0.706312387430097, 0.11420960680031889, 0.4135760603626071, 0.49534069529926084, -0.8490810426567588, 0.6058559487787659, 0.4113061466756639, 0.7322477472602269, 0.38288310733694697, 0.2018688000602672]","[6867490.713539857, 66689948.15289214, 11262364.309972765, 11293821.181808934, 18449002.191698227, 5071210.679199154, 29472370.657581795, 5888492.137538227, 31960371.34695163, 67084738.62319678]","[0.08944596084129125, 0.15483933980283732, 0.09450872689720985, 0.09914757885267196, 0.17669885805377547, 0.06876082634725288, 0.2069445100072266, 0.07730207006519237, 0.1146205118341987, 0.1571689527241824]","[1932.5063803989117, 5451.625134251278, 2655.3534282266337, 2909.4325115391825, 3555.262349644699, 1652.1711649515426, 4907.7421978998245, 1643.1189216640214, 3920.376631644853, 5503.939354052247]"
1,best_lr,dijkstra_physical,"[0.7358363002601873, 0.2558236703072164, 0.26331608076528035, 0.7999447710214066, 0.9545557825556605, 0.5533196849592321, 0.6840155258258122, 0.896473239280261, 0.5034395361444437, 0.2716554124726428]","[6177113.630850524, 56028018.8460269, 14148130.932120845, 4477056.0287397895, 453414.66809157043, 5747162.685328254, 15819447.56568051, 2276793.2306267736, 25716775.881070103, 61219015.47713249]","[0.05663991579667571, 0.11017101774459677, 0.10074396057036007, 0.05499445302988279, 0.019513858373863192, 0.06029600439619765, 0.07534131801424757, 0.039826821451085063, 0.0886593216819873, 0.13680452455200742]","[1581.9824509640791, 4291.516023534958, 2999.4155414731467, 1742.1780515917078, 468.16452324404355, 1665.5855909099785, 2380.304671220998, 1165.316758298856, 3322.42731799094, 5028.085170184434]"
2,best_rr,dijkstra_physical,"[0.746938061499899, 0.26838277330657956, 0.5398658600045255, 0.6535831530106702, 0.78238078001716, 0.3087935974907816, 0.7206482595584249, 0.8915050693362901, 0.4813461649938674, 0.37182979265702065]","[5917513.84197788, 55082461.14489979, 8836948.776834356, 7752497.353801049, 2171271.768948822, 8893330.443716552, 13985466.285476387, 2386054.793708595, 26860987.5444899, 52799131.488237955]","[0.05797051247533702, 0.11783776190893851, 0.07929572095640096, 0.0704414628187245, 0.04066066739118843, 0.09295280385652431, 0.0738856087713665, 0.047191997771516773, 0.10058315302018783, 0.11371423013047423]","[1595.7386637591753, 4545.601820986733, 2302.9611782212464, 2218.304455408021, 1007.1516826719653, 2470.6827091003265, 2300.821431953737, 1289.0622993914901, 3611.578809359602, 4348.241062539505]"
3,best_knn,dijkstra_physical,"[0.771401290306746, 0.26355119334827026, 0.39182699325947823, 0.7384139488008064, 0.9446585478092352, 0.5614037069167568, 0.7218978120715076, 0.8738138604409322, 0.5349046522887746, 0.30378189605751593]","[5345474.064119581, 55446224.19696031, 11680058.576119095, 5854060.468876327, 552163.2363350708, 5643150.514258169, 13922908.685097648, 2775125.4492040994, 24087203.253252152, 58518711.62441206]","[0.0625447669398206, 0.11457417058993095, 0.09224158495708819, 0.06154336680678984, 0.018075213282690957, 0.05208622576483952, 0.06595774880724316, 0.04055293122696959, 0.08644703257561907, 0.12972268079785007]","[1803.1520961928952, 4462.539297732807, 2766.3459258240414, 1942.360805649366, 450.47994189311794, 1417.9226292191531, 2147.9517232552757, 1201.3812280759103, 3233.2282629490505, 4833.633812201217]"
4,best_gpr,dijkstra_physical,"[0.3832584181529476, 0.5257698801961834, 0.3827612227527133, 0.11006428295230108, -0.37208319312362703, 0.6833172697942433, 0.6796209672161027, 0.34531184865349274, 0.5736645373382454, 0.5825484470065883]","[14421674.271264665, 35704137.621107526, 11854168.129458487, 19915960.64517564, 13689808.749950504, 4074563.1917096875, 16039456.759747073, 14398108.670593036, 22079835.873953044, 35087750.38806308]","[0.09964799362540648, 0.11296509645681578, 0.10665312207433571, 0.12567029840440272, 0.12797575652015578, 0.04811105719757494, 0.1108990449383801, 0.10258225732310282, 0.0947467222958307, 0.11883636504087826]","[2920.7710260262143, 4092.805861227611, 3078.475816243414, 3900.820771374018, 2654.8691740082504, 1317.9534424288067, 2941.7276987543373, 2692.3058486023547, 3334.7303278848954, 4154.496618933918]"
5,best_dt,dijkstra_physical,"[0.6487832137118206, 0.36309157353622834, 0.26071105490024615, 0.7911403344597621, 0.9619933322959768, 0.19199029312832117, 0.8295483766463836, 0.9533501324893036, 0.5948477369752037, 0.39982550825592056]","[8212733.241172337, 47951965.00785931, 14198160.864983166, 4674091.397368847, 379207.33574944176, 10396167.192395983, 8533490.530427856, 1025938.6251398339, 20982761.827264365, 50446028.05904817]","[0.05882820081000528, 0.11085161641772608, 0.10176577362809196, 0.05774614204493362, 0.016468053479844712, 0.0681768303877196, 0.047441480820176456, 0.027930033569294316, 0.08492837421643983, 0.12546331907370026]","[1724.2891598484846, 4309.038999871794, 3019.4442442424242, 1807.9324517460336, 401.70970777777865, 1845.251191955266, 1586.0729611111085, 812.1543866233751, 3096.6751208333335, 4639.519380000001]"
6,best_rf,dijkstra_physical,"[0.9181747889087555, 0.4267466046992391, 0.7605910364194522, 0.743531505738332, 0.9744984751704838, 0.8931482514366827, 0.7164479511976205, 0.9981562015556539, 0.4725742229091545, 0.46206401654917584]","[1913372.7581676953, 43159464.70471486, 4597886.929009681, 5739534.149036816, 254438.65175071402, 1374796.160760132, 14195750.534558846, 40549.39792902264, 27315284.825595845, 45214740.19376239]","[0.027018924446963674, 0.08737447995706756, 0.05158273588507059, 0.053953309833335183, 0.013198094492579813, 0.023630067604700062, 0.061821155122268635, 0.007100227897873127, 0.08748006316446459, 0.10127888944936038]","[725.9147220833353, 3577.606778666665, 1521.7598115000012, 1735.4754092500018, 325.09222574999814, 626.6896212500009, 2071.1829704999986, 179.170062583337, 3325.318809999993, 3958.2041711666643]"
7,best_etr,dijkstra_physical,"[0.8238542954214441, 0.480529616013181, 0.6633958881245542, 0.8442129769441018, 0.9780535109311949, 0.652844205486464, 0.7800734812266106, 0.9305324627993662, 0.6443281182035387, 0.4936487237592728]","[4118930.927450143, 39110215.28457055, 6464535.09132009, 3486373.4096471183, 218968.67448747426, 4466641.490663365, 11010401.827908812, 1527752.0261151225, 18420181.905619312, 42559973.87484195]","[0.05139602974804261, 0.0852070916415582, 0.0635544491934024, 0.04981712034058312, 0.012467633032134289, 0.04817985696707458, 0.061838873979115146, 0.03134631206395637, 0.07587080510523748, 0.10757978328683461]","[1460.960305521968, 3455.996147878788, 1862.5336000748703, 1576.25676938775, 304.14778466203524, 1332.565342296657, 1972.2880826038963, 929.8532191297587, 2849.0365452383917, 4064.0540348199233]"
8,best_gbr,dijkstra_physical,"[0.9831852364503556, 0.2192495209299299, 0.5220724791537639, 0.45273612106274674, 0.8144866555448285, 0.7967634514494094, 0.741528940830745, 0.8628605626272683, 0.3981018642457137, 0.3290128002558943]","[393190.68147644977, 58781636.569173194, 9178673.46421885, 12247273.220585123, 1850938.9364163454, 2614920.489653218, 12940095.802048571, 3016013.8353741323, 31172194.70160942, 56397996.86786208]","[0.013766381706163046, 0.12504238456693367, 0.06323534116964878, 0.08742621396149115, 0.04317482660394769, 0.031452842989388434, 0.05089732223399344, 0.03875417341609739, 0.10785683709915779, 0.1186047140693174]","[388.16867201650166, 4832.56602509166, 1967.681050371315, 2762.1512504829298, 944.2704633809359, 834.0386385927868, 1767.8495187218784, 790.2142192732039, 3919.635344632008, 4521.559977687469]"
9,best_xgb,dijkstra_physical,"[0.829024917767442, 0.2765528121267268, 0.3051779689646936, 0.6991231880105353, 0.8567903833084765, 0.6720374085072496, 0.5159640279318674, 0.8541034401646203, 0.4769172521517858, 0.24215666926947743]","[3998022.8624703456, 54467350.0875823, 13344166.762621446, 6733352.344264788, 1428858.157789585, 4219694.274726792, 24232778.208634276, 3208603.2393515427, 27090360.1330207, 63698451.78741152]","[0.05255756487300711, 0.09621661831783673, 0.0945411390999694, 0.06838487517392265, 0.04144634315598464, 0.05639355984856575, 0.15231723153917295, 0.05276243486566559, 0.09852464252186506, 0.16046789406372766]","[1506.9649921875, 3956.6764557291676, 2863.7434932291667, 2133.1284880208345, 904.4952671874998, 1486.4247057291661, 3815.847642187499, 1455.1319718749994, 3601.1522838541664, 5483.803865104167]"
