,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,dijkstra_simulated,"[0.13377133309085687, 0.03088757029316347, 0.15673516994986125, 0.1308791251703295, -0.040487914527084, 0.01155018329424895, 0.022828253963892986, 0.07771919827926288, 0.042925364798443666, 0.07828910687815394]","[749395766.7481322, 1451581209.0029356, 324036273.06776965, 725739186.3433218, 1480024622.7092507, 1200124523.6276758, 1508366876.3138485, 860604534.4767715, 1186166919.2246704, 1012478146.9814129]","[0.22622585613911664, 0.27469456583603985, 0.19935887674613142, 0.2654640242014522, 0.28830060304952004, 0.26155620050088163, 0.2902636278730034, 0.27435628739215384, 0.2874978115181291, 0.25620122414492036]","[13039.456236043523, 19568.861704934738, 9945.530293929565, 15703.67708728541, 21820.884616211046, 17784.891814365244, 20089.7724981597, 16172.738558774561, 17961.136246547114, 16678.869016951943]"
1,best_lr,dijkstra_simulated,"[0.904850973926119, 0.9013574891605128, 0.8179048366128585, 0.9065868262945812, 0.8972764834510676, 0.8633461043916688, 0.879171854751408, 0.8746370235243177, 0.8516307198120002, 0.9135696948049041]","[82315767.27239971, 147751293.6107767, 69972606.45167375, 78002499.58557741, 146117347.16092542, 165918075.55328402, 186510889.98297772, 116979498.87841761, 183884020.65542006, 94941695.81806214]","[0.18169847400915365, 0.15612666143116682, 0.17409630654826316, 0.15534776295228978, 0.16099199619116203, 0.14461747033559594, 0.18675917872511116, 0.17490225544545698, 0.1833889272325608, 0.1479212607463624]","[6801.567067271237, 6880.780939187401, 6773.317984989662, 6442.07381530974, 8270.249170608411, 7500.0925979638705, 8622.675875835746, 7788.126109909364, 8666.182303639494, 6510.315338388401]"
2,best_rr,dijkstra_simulated,"[0.9074882335829085, 0.9007119855008204, 0.8238820854766271, 0.9065638151011086, 0.8984110232594857, 0.8632351854260463, 0.8785130405683585, 0.873758284134064, 0.851764344059883, 0.9163980771547656]","[80034208.95170172, 148718158.70715722, 67675765.20323823, 78021714.54785849, 144503539.99559578, 166052747.61101454, 187527838.63646534, 117799473.7737691, 183718411.14429617, 91834783.07360768]","[0.17766377550731582, 0.15430148426713639, 0.17042800034018354, 0.1532894078025789, 0.15616088933992334, 0.14109952933304284, 0.18311650240097221, 0.17404856154493878, 0.179296809914662, 0.14459123933574125]","[6673.061534739177, 6828.350613943888, 6625.532193986572, 6391.525890427402, 8096.330174084658, 7392.685825863617, 8519.325022935136, 7780.150702653817, 8534.57128774464, 6353.673367216495]"
3,best_knn,dijkstra_simulated,"[0.9443254607108232, 0.9530695280202672, 0.9220752175253796, 0.9447739357414056, 0.9362250402298137, 0.9553456129756153, 0.9583574526331908, 0.9106142301370344, 0.9625782756221031, 0.90488918202885]","[48165415.96093104, 70294621.31243818, 29943684.585056525, 46115241.39013592, 90715624.32810052, 54217041.72512271, 64279630.83073463, 83408218.75316252, 46379258.08999918, 104477038.79375356]","[0.09521493331511093, 0.11819503033669165, 0.0901267602467669, 0.0976278989445562, 0.09909028584360718, 0.09769807838150002, 0.11595129351391315, 0.11194952758597025, 0.08926885618806218, 0.1373354836830583]","[4367.192795360473, 5518.5785723096305, 3561.650336065477, 4423.6997875193165, 5725.983454349473, 4822.804435532736, 5285.295980365971, 5214.012034194019, 4220.429741961464, 6686.104124373647]"
4,best_gpr,dijkstra_simulated,"[0.9325658220391045, 0.9645174162329411, 0.9216807620512341, 0.9552823239073249, 0.9781744820776439, 0.9559784408162871, 0.9727867621712991, 0.9357256644055728, 0.8383075767862429, 0.9401384253479854]","[58338969.175832815, 53147447.35934947, 30095259.60298498, 37340456.089059405, 31045342.744947646, 53448694.968424685, 42006481.15806923, 59976077.30730458, 200396287.23944053, 65756558.40822207]","[0.12476208015160267, 0.12312259614747521, 0.10645207628319615, 0.11307807488461659, 0.07934919468937647, 0.11644153359434961, 0.10575663216037438, 0.12855352600398176, 0.13670903086622915, 0.10505248897329204]","[4823.8060232869975, 5269.435106931104, 3904.9700600599313, 4150.790818636547, 3852.0525867026936, 4693.324718950457, 4518.8928641670855, 5132.715514507548, 6836.152284984771, 4648.107254604399]"
5,best_dt,dijkstra_simulated,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,best_rf,dijkstra_simulated,"[0.999995124307099, 0.9999993327013574, 0.9999973923045924, 0.9999963801905991, 0.9999985397938289, 0.9999999953542531, 0.9999954008528796, 0.9999918645189568, 0.999999918742135, 0.9999990535222586]","[4218.0820833333055, 999.5106250000125, 1002.0433333333467, 3022.637708333241, 2077.045833333306, 5.640625, 7099.264999999908, 7591.431874999797, 100.70833333333219, 1039.683958333319]","[0.0008692935701843202, 0.0002480854832057332, 0.00023000989127997743, 8.930545833308793e-05, 0.0003719013190099244, 1.619524303093121e-05, 0.0009255101351041272, 0.0004958954050494717, 6.373174906545134e-05, 0.0001886523957457978]","[20.974999999999984, 4.722916666666606, 4.970833333333303, 7.9729166666665305, 9.67916666666656, 0.59375, 26.874999999999773, 24.272916666666408, 1.7333333333333485, 4.985416666666576]"
7,best_etr,dijkstra_simulated,"[0.9998574703818527, 0.9999740023120701, 0.9998743824401345, 0.9998673248934687, 0.9999703389015658, 0.9999312714442938, 0.9999519303409893, 0.9999029318919361, 0.999933434855876, 0.9999347389795694]","[123305.88510416646, 38940.53374999986, 48270.29953125003, 110787.26406249999, 42190.93312499978, 83446.64927083296, 74200.55041666649, 90576.81109374983, 82498.65687499994, 71687.7249999997]","[0.006836334034420238, 0.0034960188474031095, 0.003933205455941609, 0.006718248615047592, 0.003142090111774814, 0.005410324675362488, 0.005267299502953551, 0.005560798205709869, 0.0055237017233035965, 0.004980767074506559]","[232.61458333333294, 118.55625000000009, 128.7427083333333, 208.3354166666667, 110.21666666666685, 175.73958333333317, 163.4958333333334, 185.57395833333348, 175.94166666666646, 169.11250000000018]"
8,best_gbr,dijkstra_simulated,"[0.9999936402546803, 0.9999985806551279, 0.9999918863147431, 0.9999961402727388, 0.9999979046709011, 0.9999976737056717, 0.9999984576977529, 0.9999949253769905, 0.9999979456439947, 0.9999978106196865]","[5501.972403167066, 2125.960087035073, 3117.796732155997, 3222.9755414100255, 2980.465813934858, 2824.465972219327, 2380.7049603277815, 4735.264536097466, 2546.101468076528, 2404.9837529649685]","[0.0015371273401596304, 0.0009472682575171303, 0.0009187250944326864, 0.0011129375317114713, 0.0009723947574697173, 0.001061828819759797, 0.0009969016995910944, 0.0013173859085117807, 0.0010312959496063133, 0.0009739469013927909]","[55.55728505397102, 34.978629802598334, 36.65730773967471, 41.90738538104173, 40.11685966899836, 40.09457216801767, 36.278074609386444, 49.78509183963987, 37.17908341294151, 37.144904439305265]"
9,best_xgb,dijkstra_simulated,"[0.9999322431279494, 0.9999137124911107, 0.9999221974043031, 0.9999392323741022, 0.9999487307779292, 0.9999649488257464, 0.9998865131396091, 0.9999523872657391, 0.999891012853848, 0.999937362976752]","[58618.13978521029, 129245.40294392903, 29896.73261141777, 50742.59363953272, 72927.04700605075, 42557.318634430565, 175178.84834980965, 44428.6977754434, 135075.09511947632, 68805.32464559872]","[0.004851691623262816, 0.005582699415816512, 0.0034711973789726875, 0.004363516041916651, 0.00449483009131891, 0.003580567124466739, 0.007120588840175559, 0.004135735733391295, 0.004978946915322065, 0.004321508910932461]","[180.36332194010416, 236.67154947916666, 138.62325032552084, 166.64737955729166, 199.2239990234375, 142.00581868489584, 295.4559326171875, 165.8543701171875, 217.166259765625, 166.9073486328125]"
10,best_dnn,dijkstra_simulated,"[0.8589409869684717, 0.9135151284284969, 0.8669526465908748, 0.8641628343657276, 0.858706286074717, 0.8752129096391003, 0.9062545270096272, 0.8751070824513226, 0.877904035058157, 0.8315935937987757]","[122033628.3774646, 129541021.85460846, 51125301.333461285, 113427668.02364509, 200980878.99320078, 151510015.82798633, 144705950.4500123, 116540874.49927299, 151321735.2733724, 184990551.11836934]","[0.1410559375324951, 0.14292099054599927, 0.13936976747491273, 0.2204896244477795, 0.15128681860819518, 0.14204424432065318, 0.14806733715050738, 0.14436861073624044, 0.179876483161169, 0.14783518134579002]","[7030.298990885417, 7518.6277262369795, 5396.099039713542, 8400.224202473959, 9285.994547526041, 7619.3996175130205, 7632.3972574869795, 6817.507893880208, 8090.3121337890625, 8263.363810221354]"
