,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,qsort_actual_lab_omp_Physical,"[0.2657384654664221, 0.1761056477074079, 0.14130279865758244, 0.5149186881906155, 0.34399987641906304, 0.5466637805303668, 0.25421057516797796, 0.09784535926234827, 0.19165186765561426, 0.6376692858983493]","[24216504.54422982, 27540683.539635025, 39342174.02971608, 7007070.611264333, 17869875.909127183, 3819043.8193723494, 21701012.00572359, 51497701.246022776, 41225816.187658034, 4646623.265947459]","[0.18766759777672753, 0.16723728173414448, 0.19521621069397987, 0.19585228642595298, 0.14714318992383296, 0.08879520472986256, 0.15051955451140978, 0.1526511384675991, 0.17736033497258705, 0.11884356956873597]","[2417.664774029865, 2661.60566036608, 3119.889394302476, 1678.2722362286868, 1716.0744253371927, 979.9591538148057, 2138.501124378968, 3145.1287124965147, 2967.2930450134813, 1267.9025090431253]"
1,best_lr,qsort_actual_lab_omp_Physical,"[0.5705507672573376, 0.49522308220463396, 0.5020069991202576, 0.7596871592470911, 0.5941293928126165, 0.4935292907110187, 0.47076161930078964, 0.47249840285604594, 0.5746261545125765, 0.7106855998656498]","[14163562.718609374, 16873402.897386916, 22816107.0928875, 3471354.1893999996, 11056182.956199998, 4266665.112851807, 15399800.628750002, 30111378.28245, 21694098.450184375, 3710243.0749515626]","[0.21251204338186697, 0.18467392072767821, 0.19073715736890215, 0.18099330026989874, 0.1663714668068811, 0.1686285986163817, 0.19844527579692697, 0.1681522516207897, 0.15097234552196043, 0.1601642632933744]","[2420.2903125, 2507.3717968749997, 2691.153125, 1562.0874999999999, 1793.6149999999998, 1677.8441015624999, 2473.01625, 2855.85375, 2395.7603124999996, 1605.4803124999999]"
2,best_rr,qsort_actual_lab_omp_Physical,"[0.5744494694897828, 0.4937698861981673, 0.4932023330027412, 0.7826572774427867, 0.574732016371227, 0.542960033394505, 0.48215131187690297, 0.44483281761217064, 0.5492454669149616, 0.7550225196940406]","[14034980.550147314, 16921979.527659707, 23219502.732383415, 3139547.467046667, 11584580.280392714, 3850245.325010436, 15068382.875821412, 31690613.126844905, 22988515.446709163, 3141654.8896362823]","[0.18664513146275213, 0.174106235710331, 0.16843455499676932, 0.14818571674618516, 0.15961526363036765, 0.16494540411348818, 0.1863099403719834, 0.16629863073024276, 0.14169031655329298, 0.14510094663998196]","[2276.013406782766, 2428.4157628484495, 2550.3760129712305, 1384.8936641910727, 1761.990431318105, 1613.772380979006, 2373.822504886441, 2860.3930558089296, 2374.133420978578, 1487.989946275567]"
3,best_knn,qsort_actual_lab_omp_Physical,"[0.40229527101870977, 0.3099702102894746, 0.2756806129777467, 0.7310701469225547, 0.4390411407131921, 0.363175787842538, 0.27615363127286263, 0.19950514349136084, 0.3622207232701181, 0.754487978012449]","[19712757.11000922, 23065933.172691025, 33185503.96202289, 3884731.1246884163, 15280889.202978948, 5364803.135103421, 21062512.03761044, 45694654.89392487, 32526791.587318018, 3148509.9911157694]","[0.16608582638878022, 0.17283715092497162, 0.16494637886863117, 0.11997304583834595, 0.10545422725328737, 0.14911299102814038, 0.18743531253256446, 0.18660430024743543, 0.1790689860754181, 0.1326186179829393]","[2366.7554072912753, 2695.8516902432443, 2814.3895109944788, 1284.8221032124452, 1457.2241992386143, 1657.263075233413, 2587.6467698988517, 3364.6212383914262, 2864.1837846936764, 1430.6632106820912]"
4,best_gpr,qsort_actual_lab_omp_Physical,"[0.26852921925926854, 0.20859112814196645, 0.10183756055039872, 0.42824952715562226, 0.28887674244972605, 0.05292549835709892, 0.2216633868196507, 0.14393083776778348, 0.2664098782219101, 0.6419123036887009]","[24124463.359001152, 26454776.913631774, 41150318.115093, 8259019.3390476825, 19371466.424655054, 7978447.048012119, 22648071.459213, 48867003.47350745, 37413151.96683185, 4592209.702826379]","[0.24015146238670204, 0.21407762560829252, 0.2385420336076312, 0.23859054748520503, 0.18053985146921658, 0.179027004138812, 0.17305118574632206, 0.1810338774615475, 0.2122797828644581, 0.1572821836523465]","[2849.535680146013, 3032.946910016085, 3535.9228614444833, 1961.5181064189496, 1917.194822860059, 1859.932545402148, 2419.732817158547, 3312.290776106853, 3233.4175596164323, 1628.6114977259858]"
5,best_dt,qsort_actual_lab_omp_Physical,"[0.9951719239841729, 0.9409984622639471, 0.9731348025169406, 0.9818686041824832, 0.9956219078489648, 0.8737452419833898, 0.9444502830262955, 0.9584172609063266, 0.9844368524895926, 0.9749274736574847]","[159233.6235499998, 1972270.6856999996, 1230859.1119999997, 261910.66874999987, 119262.11694999992, 1063608.9342999991, 1616387.9974999996, 2373667.8592999997, 793721.7059000002, 321536.59544999996]","[0.008309550622890618, 0.024972979818228293, 0.04048340721407949, 0.011260432403150384, 0.01226163613749458, 0.014840798342220208, 0.019612797149232458, 0.020930992309769116, 0.010453761117650496, 0.008506600970735214]","[124.47874999999993, 428.3775, 473.88499999999993, 114.96375, 106.04124999999993, 253.62249999999995, 316.69249999999994, 404.92, 210.85000000000002, 143.29125]"
6,best_rf,qsort_actual_lab_omp_Physical,"[0.9940915234152197, 0.9978495911858455, 0.9976317999318278, 0.9983572694381831, 0.9979025770506686, 0.9813632919325929, 0.9954963297823051, 0.9973325354404226, 0.9960956496629845, 0.9970365891876953]","[194866.05703197903, 71882.67338727873, 108501.7385331635, 23729.483617904385, 57135.18410470571, 157001.363891785, 131047.98514142417, 152266.90277972195, 199122.16393598262, 38003.55059922452]","[0.015713747750927574, 0.008134540018241503, 0.010693547061421163, 0.005436797974092573, 0.003839812573931345, 0.009127240382041914, 0.009141243848915603, 0.008021267726296449, 0.009043674742926042, 0.004911467996666116]","[239.75882500000068, 129.94040000000197, 174.6138875000007, 67.83423750000179, 63.180487500001675, 126.5769125000011, 124.1051625000024, 166.10130000000393, 173.8910375000005, 69.39741250000168]"
7,best_etr,qsort_actual_lab_omp_Physical,"[0.9918629030582321, 0.9999824236490863, 0.9999926750103987, 0.9999910369596562, 0.9999958702780839, 0.9700353363360705, 0.9999936111495599, 0.9999957684431893, 0.9999623403737917, 0.999926961243245]","[268367.653485121, 587.5325118451005, 335.6026026550413, 129.47243081002378, 112.4963479849957, 252431.54782378156, 185.90303842999612, 241.54999443002745, 1920.6437989249337, 936.6680031399833]","[0.010462095770761643, 0.0012609302513479814, 0.0005479634771320375, 0.0007024390756074904, 0.0009009140473933661, 0.007103480929217266, 0.0007860689850353597, 0.0008508840544511053, 0.001366335202745064, 0.001300694470884865]","[157.3564000000016, 10.488862500006803, 5.013287500004765, 4.88817500000431, 5.708537500003359, 115.32237500000244, 5.820775000004886, 5.759925000005097, 12.080412500003973, 9.958825000004339]"
8,best_gbr,qsort_actual_lab_omp_Physical,"[0.9896198843707459, 0.973184912025479, 0.9847340809332155, 0.9817174873178512, 0.9909699027606681, 0.8936347397412197, 0.9887629920386485, 0.9934842447202976, 0.9554226916007003, 0.9684548892598138]","[342344.11784234317, 896359.8912151397, 699425.1800402739, 264093.5739975324, 245985.80291929297, 896053.6845312371, 326974.92959574267, 371938.91560757946, 2273446.1164402547, 404542.70032188325]","[0.016307398084053466, 0.021444332449058624, 0.030780878849495825, 0.019720086083504968, 0.007898728333722384, 0.025379543644445713, 0.01880212712900592, 0.01872680148823838, 0.017900627382967948, 0.012768679271131343]","[202.87496219286757, 362.22324700554134, 383.9015753420275, 221.6600644516473, 129.8004392426233, 345.10928123585546, 188.05451661647572, 291.1292470443784, 349.6177430992509, 198.62469129518894]"
9,best_xgb,qsort_actual_lab_omp_Physical,"[0.763869098075453, 0.6660554963943823, 0.7151035561344301, 0.8052243289506448, 0.7619991922345115, 0.6576492719464919, 0.6681624649757849, 0.6434482911908335, 0.7877042321705954, 0.06856823380966659]","[7787776.9575949125, 11162911.686444772, 13052849.662819576, 2813563.1020465596, 6483298.932666395, 2884067.8857735833, 9655822.530779624, 20353044.31178219, 10827100.294732988, 11944923.096440364]","[0.1767407532866113, 0.1596839178235674, 0.13134267274445138, 0.1468735973756344, 0.12691442675032175, 0.1382641922119586, 0.17716259330181933, 0.16673741551425592, 0.12169552460330976, 0.2304107460500921]","[1883.5337271118165, 2117.22544921875, 1916.3917901611328, 1234.6138238525389, 1319.5705487060545, 1265.949147338867, 2082.4177279663086, 2568.1912231445312, 1711.2324127197264, 2190.9160974121096]"
