,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,qsort_simulated,"[0.9023967367269886, 0.9066166841849101, 0.9466165231853497, 0.9374034937037337, 0.8713624335194949, 0.9113556715343678, 0.9200332631336703, 0.9316118592365316, 0.9197941534742969, 0.9354291384572953]","[173240.56087802481, 155215.56477790183, 71807.12917618976, 89289.4046931454, 242220.35964865945, 167941.39417453576, 145353.77064863977, 106733.62841548308, 125702.33008787993, 104613.93737981856]","[0.0889170464646128, 0.08288445177900951, 0.08227207494777891, 0.0927104602071186, 0.09239843579177812, 0.09396139077175833, 0.09362074758608487, 0.09882398950391982, 0.0949381280083534, 0.08507334583785822]","[194.56329801867915, 200.8643611926626, 161.8146812292953, 181.68096540356248, 226.52623865270326, 206.83640638537938, 205.55181831175554, 176.65571320890297, 178.7512519156783, 172.86041298064015]"
1,best_lr,qsort_simulated,"[0.9293331801630526, 0.9223534232806677, 0.9355658495696513, 0.937949449150968, 0.9269090327229788, 0.9177724355605889, 0.9256778268359747, 0.8734548253734656, 0.9273283586529548, 0.9205833276905694]","[125429.81754385965, 129058.99895893775, 86671.6002664017, 88510.63859649123, 137627.9174528036, 155784.49349847756, 135093.77192982455, 197499.5298245614, 113894.3735941602, 128666.25263157894]","[0.20632547118609917, 0.18536857985191713, 0.19341463850975682, 0.1545449089520252, 0.1889580415254567, 0.1962467833640518, 0.17252786072474804, 0.29007527279252593, 0.17536286819056018, 0.2059708636994383]","[252.49122807017545, 243.6862551342539, 223.48004867666478, 218.7578947368421, 253.22063610187493, 275.1009722713086, 245.93333333333334, 352.51929824561404, 227.30643685612714, 268.35087719298247]"
2,best_rr,qsort_simulated,"[0.8512177666462737, 0.819518350094242, 0.8566760512224342, 0.8664992575782215, 0.8529986907778129, 0.8333507422531716, 0.8427007376514778, 0.8571943126832747, 0.8535258004376604, 0.8692940581420922]","[264080.48963268514, 299984.64905272773, 192787.7672644934, 190429.18722197993, 276798.6907931607, 315725.88081599306, 285919.39347014064, 222877.37311646706, 229561.17266143177, 211762.1306268329]","[0.2295585517676912, 0.2138667410431049, 0.20652381546933468, 0.17522757744041892, 0.21010688844628456, 0.22590871699439355, 0.20157291689541507, 0.20343744603540506, 0.21096723772316542, 0.1854533082346133]","[386.2395373639003, 397.1000597108492, 344.0259847114686, 337.48857299553407, 371.204715745252, 407.17612191670463, 376.9430236540407, 354.2370023291079, 353.55563412115026, 319.5264796027737]"
3,best_knn,qsort_simulated,"[0.9403109786568385, 0.9148447311194108, 0.9285751162256931, 0.9263836776724234, 0.9384813581313035, 0.9357662861255931, 0.9252924586068927, 0.9236275631729517, 0.9370770612125007, 0.9095366305497324]","[105944.81361576561, 141539.44993007978, 96074.96854098636, 105008.37802700335, 115837.60456779927, 121694.1867325273, 135794.2472446906, 119194.74930129263, 98615.75389059674, 146563.4659463036]","[0.09774156663868523, 0.10759869570639022, 0.09181163840988434, 0.09319488089426033, 0.0885745739217342, 0.09398923398104908, 0.10782562716726994, 0.10099033835060278, 0.08321941661861945, 0.10689596389026919]","[210.94878295355912, 242.31714297175932, 199.04263901874683, 210.25121331585575, 210.8782204189663, 216.8654301185331, 237.12785077481806, 222.29764330092692, 192.51460919491797, 235.64706485073378]"
4,best_gpr,qsort_simulated,"[0.8654631010321104, 0.9112091411886563, 0.9167081907684576, 0.899225084666901, 0.8575963166046636, 0.9201683904687364, 0.9078932043539415, 0.8942889984751887, 0.9080514132629646, 0.9249215101618553]","[238795.7846326652, 147582.28680599766, 112037.39549550178, 143748.15353922165, 268141.5106880121, 151245.22951375874, 167420.48724455855, 164983.55753231535, 144106.09826839634, 121637.78284581983]","[0.21066085382485106, 0.1757457833386487, 0.19320073034792468, 0.18042072996576927, 0.17692682528896836, 0.2042653979807957, 0.17508877272987033, 0.19763752374894614, 0.17211192063568184, 0.1783768326858119]","[263.6907695736362, 249.56797618090334, 230.67648235223248, 245.7995486395405, 262.59836259197414, 264.31242598179335, 260.024204432897, 246.54520614158903, 230.23694338550848, 232.38432425832704]"
5,best_dt,qsort_simulated,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,best_rf,qsort_simulated,"[0.9999666826017366, 0.9999940092889654, 0.9999824472525863, 0.9999947892163763, 0.9999874638734545, 0.9999919679685062, 0.9999862909194935, 0.9999932158279057, 0.9999868923904585, 0.9999888505545171]","[59.13659614035068, 9.95736324561412, 23.610534122807103, 7.432807280701892, 23.60511912280692, 15.217110789473544, 24.91869271929825, 10.588082894736848, 20.54285482456145, 18.063680175438638]","[0.0015931573881804442, 0.0006619103727405612, 0.0008451749190840236, 0.0005486694276849362, 0.0006237762932772843, 0.0006415569522408097, 0.0008003145490500118, 0.0006777283272286878, 0.0007995191341087413, 0.0006511994888160166]","[3.172210526315785, 1.3512807017543809, 1.4968947368421122, 1.2882280701754527, 1.75729824561403, 1.5344035087719265, 1.5550350877192982, 1.4165087719298266, 1.647280701754388, 1.4188070175438654]"
7,best_etr,qsort_simulated,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,best_gbr,qsort_simulated,"[0.9999945953542096, 0.9999951667254015, 0.9999901060117982, 0.999995306904319, 0.9999962185708938, 0.9999951900171505, 0.9999972413804834, 0.9999967199871733, 0.999996452292971, 0.9999950638550239]","[9.59295659451958, 8.033549033847718, 13.308591558115742, 6.694362741838143, 7.120308189460087, 9.112768291872312, 5.014281740595872, 5.119128350850143, 5.560131328774397, 7.997253700603754]","[0.0009895531558342932, 0.000956670337423287, 0.0010623484500172455, 0.0009582930070720426, 0.0009486486534401812, 0.0009657008026097839, 0.0009294761998956326, 0.0008083098358366321, 0.000934173226376443, 0.0009811302417097212]","[1.8614915728000956, 1.8300593736395832, 2.043670660299642, 1.7894553412500718, 1.8021330366282735, 1.8153281059904323, 1.5989960732948432, 1.519654643685353, 1.619926824422919, 1.8601168132028896]"
9,best_xgb,qsort_simulated,"[0.9993110693246013, 0.9992562722247669, 0.9992811980687198, 0.9995500855184373, 0.9991884293391963, 0.9993762260156444, 0.9991901617169207, 0.9994236880639807, 0.9992712807855114, 0.999524758703955]","[1222.8150228778325, 1236.1750668867214, 966.8741380546733, 641.7705811156549, 1528.1611951977961, 1181.7729841915727, 1472.0251528828258, 899.4522053645891, 1142.0826187734738, 769.9581823276878]","[0.019395380203940656, 0.014811831833801355, 0.016061407642364748, 0.012966124099691733, 0.018061924886612245, 0.0155181155796121, 0.0165770880115956, 0.015365978748690152, 0.013870809890327945, 0.012714789924640623]","[23.615440395422148, 22.410446970086348, 20.52412698310718, 18.687883236533718, 23.60009390847725, 21.92100615919682, 23.950442558422424, 20.65059236225329, 20.899090040775768, 17.68643209892407]"
10,best_dnn,qsort_simulated,"[0.9983457606017805, 0.9990629910572522, 0.9994436200084298, 0.9992503111193761, 0.9991422436800558, 0.9987697624911512, 0.9994663006177414, 0.999506164973609, 0.998621556143915, 0.9995447247281856]","[2936.1862663593242, 1557.4342266721455, 748.3973002441489, 1069.377155637924, 1615.1272912900438, 2330.7503816441845, 970.0935744545537, 770.7301824108355, 2160.36127178932, 737.6103963654161]","[0.016342921, 0.013247803, 0.015252506, 0.01487846, 0.012475012, 0.011777087, 0.011515974, 0.013750572, 0.00941244, 0.011405009]","[24.291021514357183, 22.97347722639117, 21.361949612801535, 23.946827885142543, 21.411707399602523, 22.601339025664746, 17.43611557274534, 20.565561394942435, 17.04138836777001, 18.99882084361294]"
