,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,runtimes_final_mantevo_miniFE_Physical,"[0.9272538457448388, 0.982150518529648, 0.8363896624789019, 0.6397885039181874, 0.8699730962335067, 0.7551585165975143, 0.5439134976599442, 0.6484791327028068, 0.8068059901503644, 0.9867941256676445]","[80.98679012865016, 0.24604542782631306, 154.28158314239755, 295.9101701685716, 155.7482511272424, 182.70601024752082, 597.2500704299865, 329.55151136946347, 135.01567065312875, 8.435359227395493]","[0.08456650589596842, 0.062394323367083324, 0.10654356337749728, 0.10215118269287372, 0.09769081655338156, 0.08161980151828732, 0.1659242651455753, 0.15614851749034886, 0.1573295522965597, 0.046400142578790646]","[3.3825580740222128, 0.34081134768650523, 3.741288183878043, 5.961478966223049, 4.636674460799275, 4.79570469862764, 9.100267355146027, 7.595615241163478, 5.751447590018494, 1.234110154414276]"
1,best_lr,runtimes_final_mantevo_miniFE_Physical,"[0.9659431212453873, 0.8949789513652298, 0.9226943885202523, 0.6866790253317374, 0.9395609825906323, 0.6915379538977289, 0.8336218378463542, 0.9018975553041062, 0.8336171375678734, 0.9043901272701592]","[37.91481928326154, 1.4476582350602265, 72.89779060170062, 257.390072054809, 72.39479668194403, 230.18105009390172, 217.8739527577322, 91.97123677792305, 116.2784176069691, 61.07158086350767]","[0.20178281376635085, 0.18530925510503826, 0.282675987019943, 0.22632454435472027, 0.1520541975481529, 0.17077883916842557, 0.17997376445146937, 0.20235727265730136, 0.22485526417918267, 0.16378853099921314]","[2.834912307692308, 1.0157972139480358, 3.5540161298076924, 6.215651450664333, 3.0261456730769236, 5.281313315058498, 6.864412137920675, 4.566081538461538, 6.230264790300472, 3.2366276923076924]"
2,best_rr,runtimes_final_mantevo_miniFE_Physical,"[0.9659384782923135, 0.8913521742503814, 0.9227929206572003, 0.6866737596503171, 0.9394985319853236, 0.691543310305635, 0.8335997087733225, 0.9018389707920849, 0.8335412599340736, 0.9028756122047907]","[37.919988186965305, 1.497651391911072, 72.8048765822746, 257.39439775985204, 72.46960098995194, 230.17705302647602, 217.90293101154813, 92.02615987431818, 116.33144549133786, 62.038989632526835]","[0.20204056887085328, 0.18717590188575725, 0.28131905726378326, 0.2244918884836065, 0.1550934936744695, 0.16945887062170112, 0.1794658278294919, 0.20349355273701786, 0.22612659880817307, 0.15252228687896643]","[2.8365542433398785, 1.0391795239177954, 3.5475448670317653, 6.2013021977377, 3.064376494512719, 5.26635899483278, 6.8577616330502815, 4.5825208300595115, 6.267380597824628, 3.1629111639607648]"
3,best_knn,runtimes_final_mantevo_miniFE_Physical,"[0.9458648120590663, 0.9631941574864766, 0.8923565140184658, 0.6937179166910601, 0.9125464462607319, 0.710798924814894, 0.8402895656015221, 0.88183048525561, 0.8718287158797489, 0.9538306165638621]","[60.26758595333417, 0.5073485906461541, 101.50585643805051, 251.60769263996053, 104.75322917950818, 215.80809702702356, 209.1424931531399, 110.78415481060334, 89.57385323404759, 29.491067746797118]","[0.10563001074190317, 0.05064157961924092, 0.08626490330369477, 0.11163262357236817, 0.07885148290358364, 0.0967565933436754, 0.1223330806189805, 0.10100791610887075, 0.167364118934451, 0.056381497437903036]","[3.1706871153846157, 0.3972123076923081, 3.2567586538461537, 5.744018461538461, 3.5777432692307696, 4.9232967307692315, 6.090260192307692, 5.081812884615384, 5.340678269230768, 2.094527307692308]"
4,best_gpr,runtimes_final_mantevo_miniFE_Physical,"[0.9809587937495013, 0.7629431205137223, 0.8886116078896097, 0.6230133788330083, 0.7891730998698262, 0.5936665014985264, 0.5152609574170466, 0.8496116512780568, 0.7425539414713807, 0.7789771001485811]","[21.198181404841275, 3.2677006012332943, 105.0372350479448, 309.690768990512, 252.53174562104644, 303.21484459837865, 634.7708731511104, 140.98937566563643, 179.91889229018824, 141.1801680680406]","[0.3538879985541611, 0.2809399594321946, 1.0945479096061317, 0.39756569698802874, 0.5445995112268257, 0.430353776166262, 0.45539951449180205, 0.22997564886910113, 0.30986996446984433, 0.38483783633572466]","[3.001531541053981, 1.5496850181599204, 5.99908487319945, 7.715732309651639, 7.649786132513667, 7.187288923600601, 9.032037935819385, 5.408435544642671, 7.996780016201323, 6.110501161932591]"
5,best_dt,runtimes_final_mantevo_miniFE_Physical,"[0.9931499293234275, 0.7759183721232646, 0.7995343291713385, 0.766438320784226, 0.841537819446379, 0.7656923933528208, 0.8916825313790938, 0.9606047463675331, 0.923822716423709, 0.9838428563198827]","[7.626042117692322, 3.0888437902538466, 189.0354945155, 191.86860217781543, 189.8084686793539, 174.8454035902846, 141.8428640854616, 36.93312853710771, 53.237297774353884, 10.320506435269248]","[0.16255451935910242, 0.15258580116416556, 0.08212057391149807, 0.17873373564687772, 0.0949530715137796, 0.10352522220907326, 0.33278140446242754, 0.09737088167035463, 0.17393229440132857, 0.06271066232770665]","[1.673644615384617, 1.0885176923076922, 4.104634615384615, 6.109267692307692, 4.385835384615385, 4.851053076923078, 6.1902215384615396, 3.1368107692307707, 4.12883076923077, 1.4216915384615398]"
6,best_rf,runtimes_final_mantevo_miniFE_Physical,"[0.9943068452730424, 0.8892478409758462, 0.9917458497778439, 0.9886471414183821, 0.9864089932277421, 0.9921464958557691, 0.9885439214039687, 0.9895929928830199, 0.9729583009430572, 0.9789783649266501]","[6.338071500313603, 1.5266584855727092, 7.783514068022739, 9.326260686647549, 16.27951965724764, 5.860454644836642, 15.001855378806265, 9.75658984515974, 18.89837649011401, 13.4277397261354]","[0.11524489584054745, 0.08681806100613489, 0.08228388571178395, 0.07375552717396554, 0.06495840769154942, 0.06883435317039567, 0.09012755000339163, 0.05938165186704007, 0.06919634119891702, 0.07040215836640812]","[1.3863783335426194, 0.647148051112129, 1.1079255594129482, 1.577941317416592, 1.806018410184362, 1.3372198957408434, 2.0257550319576842, 1.584908027022925, 2.522838675841638, 1.7939003318655389]"
7,best_etr,runtimes_final_mantevo_miniFE_Physical,"[0.9992301758198836, 0.9926708751796279, 0.9999995637774031, 0.9999705243691485, 0.9999980207716789, 0.9999803739705977, 0.9999047168232422, 0.9994990887194765, 0.9999684367450368, 0.9998108737690043]","[0.8570293502027256, 0.10102801333563458, 0.00041135000317307833, 0.02421393830011532, 0.0023707505190192356, 0.01464536760380761, 0.12477432183896114, 0.4696053205255918, 0.022058313506557667, 0.12080591240086508]","[0.07464932457198922, 0.012891641758332094, 0.0017516547610392588, 0.016941702496497086, 0.0043478337446660326, 0.008755640487843585, 0.01771680177286448, 0.007722694939303738, 0.018169434659504317, 0.013027226487505015]","[0.6497121538461516, 0.10590180769230798, 0.008055269230771121, 0.08806415384615598, 0.021167730769232326, 0.054671692307694024, 0.13755115384615732, 0.20729534615384732, 0.044430730769234546, 0.12075096153846279]"
8,best_gbr,runtimes_final_mantevo_miniFE_Physical,"[0.9806430418242832, 0.9750259246060569, 0.8530620614368287, 0.887251765629972, 0.8764865193949521, 0.7006383806197212, 0.8209323506653445, 0.7330606136560833, 0.950249682221061, 0.9878659013007083]","[21.549701497720267, 0.3442540936035454, 138.55981308200077, 92.62155589577125, 147.94637138650356, 223.3901148536023, 234.490969647497, 250.25620495895174, 34.76853410391795, 7.750753857956862]","[0.07110982019345716, 0.060140570296804446, 0.13443822854610704, 0.12581597951816215, 0.09052877528461083, 0.08961103756939645, 0.12386940125866047, 0.19755032046354484, 0.10810228495433762, 0.06273904985713573]","[1.7962593558203428, 0.42468927972092896, 4.280307420187569, 4.249657564136725, 4.294468792185348, 4.766947111736544, 6.248147071163132, 7.559286054654563, 3.485180693888161, 1.4241071816979796]"
9,best_xgb,runtimes_final_mantevo_miniFE_Physical,"[0.9988274677892187, 0.9799973166288545, 0.9933923557878223, 0.9829164184150376, 0.9954124383078474, 0.9712137576621048, 0.971060024634371, 0.9716383197754251, 0.6914189778994859, 0.9937397135422039]","[1.3053558782028831, 0.2757261490146077, 6.23088874054198, 14.03399277614041, 5.495052868245064, 21.480916609745158, 37.897202036636436, 26.589131549575857, 215.65510070501503, 3.9988086974692605]","[0.058888902983430746, 0.049213294431382795, 0.054128438620001045, 0.04430564179065247, 0.05377779299226103, 0.07032077023468285, 0.09704523391287725, 0.060894649406056774, 0.1386448912087208, 0.040015782543788306]","[0.6066563762987581, 0.36029184303870565, 1.0409937245941168, 1.4769702978046122, 0.8835219204359791, 2.1098970383277305, 3.018210359473596, 2.270412715829702, 5.967454156488272, 0.8706041181945796]"
