,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,sha_physical,"[0.5439399158414611, 0.12855304675271628, 0.2294746330106444, 0.25975184159229625, -0.26714663658966464, 0.7362244118138311, 0.4474590838253838, 0.6962238946287296, 0.4121302600588421, 0.3707560160902069]","[15007066.046998067, 35576553.14683912, 21176613.81670158, 20479064.611732397, 18381268.1417861, 3374835.8878549463, 23468278.70348071, 5618570.996620248, 12699905.172782712, 19948440.26282979]","[0.13582241805606096, 0.15921148387944145, 0.1261759568778841, 0.10153352086675953, 0.23802047464261822, 0.07062130410165869, 0.24775455506669716, 0.09488550988541533, 0.10028972725404246, 0.15170170601406757]","[2812.221900778095, 4401.885142305119, 3378.321036187908, 2684.665535691213, 3918.7222646045434, 1440.1873177521823, 4518.765017619982, 1580.6348947029167, 2432.401755783017, 3471.8375182180903]"
1,best_lr,sha_physical,"[0.8294903913494944, 0.3970132969485334, 0.39613556098653313, 0.5555667173185861, 0.9086843458052347, 0.9089030406738178, 0.8669284213197159, 0.9899102574577844, 0.7478549653277726, 0.13646473370891077]","[5610771.579335157, 24616746.21502805, 16596214.181231478, 12295306.389163835, 1324627.6925092263, 1165525.9295317256, 5651999.344414412, 186617.49166140755, 5447155.743117205, 27375997.411083896]","[0.04000932564609063, 0.12318346140113924, 0.09049032397637034, 0.06375980892701118, 0.03889984841057366, 0.035152223749902366, 0.04458102122061144, 0.01715008427992932, 0.058564770079713224, 0.1654177717809903]","[1179.007416666667, 3701.162366666667, 2667.774766666667, 1920.3510833333332, 824.9425333333342, 824.3778000000002, 1230.9241833333333, 365.6186791666669, 1579.3912666666668, 3960.213566666667]"
2,best_rr,sha_physical,"[0.8029926849948819, 0.1595873851196461, 0.48423556936790335, 0.24035442403562146, 0.7929655546588524, 0.8095955785043114, 0.8361949527279224, 0.9122647428292774, 0.4182470691826895, 0.35032135526466457]","[6482702.369093542, 34309585.852761306, 14174931.333620539, 21015696.77073482, 3003248.04131878, 2436099.8653764115, 6957353.545928319, 1622730.565717039, 12567762.1306172, 20596264.669885162]","[0.04954799909701917, 0.14050847057303711, 0.11156675293787584, 0.0747500155412446, 0.057327230818731784, 0.05114083158111882, 0.07178978433260756, 0.04185572098956561, 0.06406517688311619, 0.15458696994221924]","[1358.0795087202039, 4231.188805209005, 3025.8408869436103, 2300.489232629232, 1202.6721746991589, 1193.8522103560717, 1681.8784987462925, 887.9904147911193, 1847.236388393873, 3795.2829616223335]"
3,best_knn,sha_physical,"[0.8139163449771692, 0.30931401585212936, 0.3774052626345622, 0.4739023312062366, 0.8459578573507525, 0.8865280174924332, 0.8521660947171744, 0.9954673429748738, 0.6005020103684979, -0.019679376547373284]","[6123249.541443429, 28197042.32282849, 17110985.416370798, 14554562.586801223, 2234540.066169149, 1451799.6963475842, 6279005.209281016, 83834.95228459525, 8630460.526077159, 32326114.592159282]","[0.04050667609657876, 0.11842656280322784, 0.09400156757218814, 0.05710979006989301, 0.0421983196687129, 0.03543680511705707, 0.04923931506129579, 0.009312525621175146, 0.06629967276084131, 0.17777532615132874]","[1197.1320558752905, 3670.6182504323583, 2760.2981530463517, 1807.501146247697, 946.0129989681633, 821.1582223931376, 1341.9038566049846, 219.24535379383028, 1852.203403093891, 4240.18444268829]"
4,best_gpr,sha_physical,"[0.5302629303915782, -0.7435340173000458, 0.0941127383195961, -1.013320567629608, 0.15041166241732495, -0.29705440211648604, 0.5826986624644623, 0.8259363840424725, -0.3778632135171014, -0.717845175829382]","[15457119.518239526, 71179238.61992726, 24896811.349677753, 55698783.60427866, 12324154.594507655, 16594961.55373367, 17724197.079233754, 3219439.4716810496, 29766342.718174886, 54459530.4001117]","[0.08004696249659292, 0.19148375335442383, 0.1124638395990522, 0.15471290071198232, 0.15826970172488566, 0.08060419705560642, 0.1478776378804649, 0.0766377012013827, 0.13068869606872735, 0.23299381052696158]","[2253.035775326823, 5893.440778813428, 3262.192711413513, 4494.793762812747, 2782.8005795791664, 2085.7179810114553, 3177.3321050490244, 1444.102908196163, 3535.581508766713, 5521.174644959356]"
5,best_dt,sha_physical,"[0.8188465999437422, 0.39934957590378084, 0.2642752544598558, 0.5783970212762868, 0.9318246554023377, 0.6051062726461572, 0.851416405229161, 0.9957774293267744, 0.7391656644205747, 0.08613828081693942]","[5961015.0804986255, 24521368.347095322, 20220176.36170816, 11663702.9673317, 988953.6487118514, 5052406.601106522, 6310847.053623651, 78099.66846065316, 5634873.004342854, 28971458.41639647]","[0.042673451319739125, 0.12011006830287334, 0.1001137069447209, 0.061044211711379186, 0.028617877473888626, 0.08483328011898006, 0.046199845372840005, 0.00877086191999186, 0.05471111532209205, 0.1684330600308741]","[1246.8655527777776, 3625.4404328282817, 2965.178677182539, 1854.878030887827, 625.831494444444, 1634.8667088333339, 1270.2969388888878, 208.27128095238126, 1508.387559722223, 4051.652813095236]"
6,best_rf,sha_physical,"[0.8603645090307652, 0.6067641344042264, 0.6706412240356254, 0.7699047958945751, 0.9523975294346644, 0.9668848030667805, 0.8914937157270713, 0.9953930775334078, 0.7860101964866951, 0.5226233724864686]","[4594831.050269789, 16053732.95469139, 9051880.579858245, 6365614.69043124, 690522.9043008225, 423687.2555648924, 4608628.331139658, 85208.5483248853, 4622878.212498906, 15133905.735028869]","[0.036472183022645994, 0.09073163746360885, 0.07994753491880145, 0.0366864433150637, 0.023566600628415573, 0.020420958057564106, 0.036471304182891316, 0.00942517035762065, 0.04403301404121981, 0.12349080082415355]","[1068.0242069540645, 2788.9395244469783, 2243.803881841875, 1162.8872911141323, 522.780269733193, 490.08191608112094, 1054.262000816023, 212.93757354024274, 1253.7784632875782, 3043.1854618755374]"
7,best_etr,sha_physical,"[0.8170882984197234, 0.5057135411816601, 0.592073692097516, 0.7143159414544142, 0.9431594422934666, 0.949173999191662, 0.8605848728350225, 0.9935316365107085, 0.7936243892755463, 0.42251381042663594]","[6018873.568926033, 20179092.263030283, 11211179.09703178, 7903487.806145557, 824530.8809281798, 650285.3912434861, 5921431.271444376, 119637.32121758671, 4458386.795751761, 18307602.535561036]","[0.04297433231027501, 0.1041889456405347, 0.08686117206318895, 0.046061977657279506, 0.027575569620402144, 0.025564794464801224, 0.040839542919468265, 0.007885031435605963, 0.04597597036813389, 0.1256451108565841]","[1255.5035929104708, 3183.7856478957015, 2457.857934036407, 1426.7615070673082, 605.7495002828682, 611.3158764884596, 1169.3271458117063, 188.28058206946085, 1288.8699336030043, 3136.8141974466766]"
8,best_gbr,sha_physical,"[0.7773814205016012, 0.09504354360302913, 0.4542078134163985, 0.2248178219786825, 0.8065535880710232, 0.6436083682876528, 0.8009243304291827, 0.9103794989522446, 0.420249260985478, 0.10927258312092547]","[7325463.994476635, 36944568.27993091, 15000194.48368626, 21445518.95098209, 2806139.610095015, 4559797.504783194, 8455415.987860566, 1657599.5905737074, 12524508.252580063, 28238049.342437852]","[0.044968099660046584, 0.12120985594174549, 0.09088659579295577, 0.0753928075744847, 0.053026007053561725, 0.04997727934353927, 0.08062741502859887, 0.04452328241629964, 0.07332673540773964, 0.18169824912839203]","[1332.5783960197748, 3878.8770508800785, 2649.2223309118376, 2319.3344252237516, 1107.9719551623118, 1245.212791164199, 1870.9318036477325, 808.7488888877242, 2061.237972270094, 4343.6587331708615]"
9,best_xgb,sha_physical,"[0.9240233037029673, 0.3277439539530115, 0.2973535628800137, 0.6185711478154927, 0.8376932981165672, 0.9421762134719409, 0.8104341775738494, 0.9730085888986133, 0.5709963972319434, 0.2217618741742231]","[2500081.3247359823, 27444645.782917783, 19311073.82838026, 10552280.366989098, 2354426.016990187, 739817.476243579, 8051500.663790685, 499226.7557935712, 9267878.07530594, 24671887.471740533]","[0.029039923355152802, 0.12541209096875236, 0.09471027979617154, 0.06371781102345676, 0.05079867980630282, 0.029418514431380466, 0.08607704989444072, 0.02449767003628128, 0.06740169291938009, 0.17602967283343737]","[833.2755677083336, 3842.8856083333335, 2793.79330625, 1884.7447458333345, 1036.6374854166672, 686.7818117187508, 1844.2039684895833, 518.8948812499999, 1860.4936799479171, 4218.880445572917]"
