,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,sha_simulated,"[0.19670451441463954, 0.19903816449997036, 0.06631571526832614, 0.2719147158552152, 0.05737275879530723, 0.08791028248779176, 0.23145296073174415, 0.25307347001557223, 0.2119702752530549, 0.1873560083727046]","[40822390.05859227, 55918578.0899455, 38322124.710946836, 51487259.153707795, 60157660.46176159, 71387404.47194652, 61018854.12779468, 39076911.852794014, 63332081.64160737, 46750161.539483994]","[0.1547352949997105, 0.15877205603985642, 0.15057324553274712, 0.16454683282610968, 0.16048061376143916, 0.16715859554428206, 0.17674955573855788, 0.19042741372088776, 0.1822546742184822, 0.1421959552168596]","[4661.91169460762, 5014.383429519256, 4685.372278261745, 4833.728506453891, 5301.183129087913, 5820.035173548, 5555.075417123949, 5112.774352553017, 5551.800614306375, 4411.750108420653]"
1,best_lr,sha_simulated,"[0.8817305791049681, 0.8738114742784311, 0.9112270729886088, 0.9131328627679578, 0.901329912397685, 0.8976426699249868, 0.8763151879991468, 0.927097376214855, 0.9068103415188578, 0.9039967127548226]","[6010292.001407959, 8809761.735041356, 3643594.7734345626, 6142894.11419756, 6297040.196001911, 8011299.74654681, 9819965.617835796, 3814042.3309758566, 7489432.027423132, 5522921.763127909]","[0.07417409865190869, 0.07734055606760197, 0.06216731002874764, 0.06755294815366726, 0.058589619425457345, 0.06905672977016909, 0.0874448710603765, 0.06254944252206701, 0.06777441861029965, 0.05595461151398631]","[1857.8885739875102, 2105.3152611900928, 1685.2086314900462, 1777.5118504829097, 1783.311271402009, 2089.1247015125145, 2202.0440951257733, 1535.0137322403807, 1942.5069092067922, 1581.1238770432908]"
2,best_rr,sha_simulated,"[0.8830573113689262, 0.8719072188782954, 0.9102372776642863, 0.9116551989695708, 0.8988868524186266, 0.8947632581815484, 0.8751513137950684, 0.9264660123907231, 0.9054595017600628, 0.904552000235423]","[5942869.262260921, 8942705.964811321, 3684219.9188689217, 6247388.547180044, 6452954.1843564985, 8236665.439003873, 9912371.50407717, 3847073.3554638475, 7597995.817851476, 5490976.9266602965]","[0.07380250182808995, 0.07710345803064372, 0.06145783227253351, 0.0671845803035383, 0.05824325292030497, 0.06891012033828597, 0.0871806285810431, 0.06206351256074786, 0.06616500160799943, 0.05491444508426399]","[1850.069425676685, 2112.6449804059953, 1671.8235204196433, 1769.730808371775, 1784.3848601985399, 2096.8176610051437, 2211.698460383339, 1526.590791140182, 1918.5946072974348, 1558.98604372766]"
3,best_knn,sha_simulated,"[0.6719407756865898, 0.7165506802198351, 0.6498433946309943, 0.7769390046875595, 0.708915671288812, 0.7369914570546583, 0.6867940817179048, 0.6719017767632138, 0.8023938565424289, 0.4404600132526443]","[16671526.054304153, 19788811.676369186, 14371822.808572993, 15773975.2784947, 18576751.70724768, 20585142.96820271, 24867009.126485527, 17165095.6738001, 15881137.496884234, 32189476.619223904]","[0.09517147869671949, 0.11840475222937331, 0.09022508637338433, 0.09753248420922457, 0.09874445304528369, 0.09785241034411135, 0.11610820544715537, 0.11186312806773185, 0.08927912371597614, 0.13714030068505692]","[2821.8515903690545, 3273.2335314178604, 2550.288159369445, 2771.270541557302, 3054.6067735429097, 3116.7276224490383, 3420.571001389338, 2973.0269065425314, 2587.4637273813278, 4153.328329683661]"
4,best_gpr,sha_simulated,"[0.834006841092724, 0.8401769875552261, 0.7846553738415372, 0.8456557871794537, 0.8650133787052425, 0.8330692732257478, 0.8707945704006755, 0.7931236532572261, 0.8325512620769878, 0.7710302824564912]","[8435547.817168262, 11157929.38671557, 8838601.821223183, 10914601.156512639, 8614730.166669399, 13065327.984985242, 10258275.497029642, 10823137.807494892, 13457458.27586618, 13172276.412668569]","[0.0841633697844117, 0.08169866824009389, 0.07658225512669738, 0.08477469514963966, 0.06885116034392076, 0.07923101334169223, 0.07667772712198283, 0.09266480435596026, 0.09799981899879441, 0.08657486043477697]","[2246.363011240266, 2270.8484122685327, 2141.9960270816373, 2284.328933740983, 2087.025204338947, 2395.816493550428, 2236.139407380974, 2366.9515293714135, 2696.524495892323, 2501.2661330989495]"
5,best_dt,sha_simulated,"[0.9999996498045387, 0.9999996792559572, 0.9999996982453478, 0.9999996358842761, 0.999999643456263, 0.9999997112480462, 0.9999997660956489, 0.9999994974719659, 0.9999998079678689, 0.999999479881817]","[17.796459676323497, 22.39251610648954, 12.38521371656019, 25.7487976262645, 22.75431488857201, 22.600027305914637, 18.5708548087422, 26.290729948955562, 15.43316733055144, 29.921600756134353]","[5.9733501309639815e-05, 8.851810687854452e-05, 5.29321944060066e-05, 6.986870677279734e-05, 6.737676684167714e-05, 6.695847249388866e-05, 6.843838627215749e-05, 9.085262260496059e-05, 7.785609005864489e-05, 8.843155968341709e-05]","[1.8112310447836535, 2.377330081648779, 1.414554180590282, 2.164706552477431, 2.1557517720348187, 1.8286613272310508, 1.8513798701300554, 2.4232195566398027, 1.9224733599733856, 2.6344281399428837]"
6,best_rf,sha_simulated,"[0.9999498974401659, 0.9999994777113346, 0.9999985195380475, 0.9999985585920717, 0.9999324867679038, 0.9999442344193445, 0.9999721296370695, 0.9999539166308625, 0.9999273766010446, 0.9999870477741882]","[2546.1443232054444, 36.46320988891359, 60.76405965268403, 101.93056385998717, 4308.636453075968, 4364.658416198351, 2212.769711221648, 2410.940944489052, 5836.570483700387, 745.1216710351422]","[0.0008813252118060453, 8.844228981089561e-05, 0.000111109410766929, 0.00015390722088520447, 0.00048117255202045775, 0.000461849630385926, 0.000616078415149994, 0.0007659937081001037, 0.0006658317188888698, 0.0004549163816441697]","[18.403424398099634, 2.085040177783261, 2.208139887487808, 3.1671284140577427, 14.414234643544205, 13.830231337704314, 13.084253633779175, 15.934257762667812, 18.35219110096803, 9.343887529539643]"
7,best_etr,sha_simulated,"[0.9999999999959005, 0.9999999999987168, 0.999999999998731, 0.9999999999994698, 0.9999999999983025, 0.9999999999993345, 0.9999999999986355, 0.9999999999976505, 0.9999999999988853, 0.999999999999674]","[0.00020833333335758654, 8.958333333648625e-05, 5.2083333339396636e-05, 3.749999999708962e-05, 0.00010833333333503107, 5.2083333339396636e-05, 0.00010833333333503107, 0.00012291666667733808, 8.958333333648625e-05, 1.874999999854481e-05]","[1.2390468261297724e-07, 6.815642050308052e-08, 3.097617065324431e-08, 3.718024984983622e-08, 8.674654542799862e-08, 3.097617065324431e-08, 8.674654542799862e-08, 8.054246623140672e-08, 6.815642050308052e-08, 1.859012492491811e-08]","[0.004166666666909198, 0.0022916666666787933, 0.0010416666667272996, 0.0012499999999514937, 0.00291666666665454, 0.0010416666667272996, 0.00291666666665454, 0.002708333333430346, 0.0022916666666787933, 0.0006249999999757468]"
8,best_gbr,sha_simulated,"[0.9999951148939299, 0.9999975793943914, 0.9999933801623574, 0.9999970598743276, 0.9999949390845502, 0.9999973369839152, 0.9999974071652975, 0.9999958577720217, 0.9999964488222292, 0.9999947199417372]","[248.25448300430034, 168.99285053472607, 271.7045235233466, 207.9138470885997, 322.9832747746632, 208.42884499973908, 205.85832018915843, 216.70870036456867, 285.39974247445576, 303.7536476835757]","[0.00042507953221807064, 0.0003709135900180815, 0.0004371145175616368, 0.0004079109119659564, 0.00048343988818201053, 0.00037441160681904884, 0.00043440417967533553, 0.00037916205655849573, 0.0004848850888320286, 0.0005322534497669988]","[11.698956629081371, 9.91199958500033, 12.40705105928915, 10.918147928541279, 13.629667538173635, 11.023130020461812, 11.87475411052018, 10.389246670590902, 12.888928295363408, 14.164794447140215]"
9,best_xgb,sha_simulated,"[0.9994903469339148, 0.9992332419589885, 0.9992845231484331, 0.9995786086503962, 0.9995390323724717, 0.9996341173828112, 0.9997448087714164, 0.9986199353288977, 0.9997913572745764, 0.9994970800931168]","[25899.87947352727, 53530.66462351879, 29366.02187903722, 29799.099219083786, 29418.55784400304, 28636.887228329975, 20260.92816187938, 72200.76317940156, 16768.121436913807, 28932.210328817368]","[0.0045050579416656585, 0.007325656149532445, 0.004964755426233193, 0.005314901276046027, 0.0054424978171290295, 0.005096203835692607, 0.003957428659266261, 0.007931380092721423, 0.0037447183796374267, 0.0050036445938826815]","[120.26643880208333, 190.4710896809896, 134.54313151041666, 135.68558756510416, 135.87141927083334, 133.8564453125, 104.05430094401042, 193.49688720703125, 100.31770833333333, 125.84501139322917]"
10,best_dnn,sha_simulated,"[0.986642493975535, 0.9723970856369626, 0.9923473015895778, 0.9757946982185327, 0.9805616696153775, 0.9731404584825425, 0.9796838974192152, 0.9887921577547147, 0.9743730734322732, 0.9812014732861883]","[678810.3891102473, 1927077.7381746173, 314097.24641958874, 1711701.462528507, 1240537.540297687, 2102241.607840637, 1612998.6018845637, 586360.0312712988, 2059575.3619978428, 1081450.3886445563]","[0.014207844, 0.018634789, 0.01112494, 0.024260351, 0.016203484, 0.017122904, 0.016506817, 0.016930321, 0.026778864, 0.01520155]","[423.0470377604167, 641.4354451497396, 302.1181640625, 672.9659016927084, 545.4246622721354, 660.1927286783854, 571.1912841796875, 434.3863932291667, 733.3025309244791, 476.19834391276044]"
