,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,stitch_physical,"[0.6949980747330784, 0.6246862331067944, 0.6435919748815679, 0.8408592576051669, -2.4945435070628768, 0.5698278960694521, 0.2514712746118425, 0.8037064202234718, 0.32026508314309066, 0.6851621453667658]","[7607569.041533611, 5397689.546858382, 3536098.957009513, 1774775.6824954997, 15005505.537072295, 5226052.293511982, 11858598.784843443, 3776627.61847924, 23857248.6387881, 4169491.6744077653]","[0.12952597292757073, 0.10778143684976366, 0.08854859799041483, 0.05756531252357253, 0.2338450103374985, 0.1072182194187275, 0.20801533152981241, 0.09022557712450018, 0.11031587858836861, 0.0948707199242641]","[2340.343132422349, 2104.9810737135085, 1618.947851530889, 1159.1034048157114, 3432.2915416139062, 1951.6768822033946, 3126.3260399120677, 1513.2347781133492, 2780.344928277916, 1758.0982370263591]"
1,best_lr,stitch_physical,"[0.8226182587873474, 0.5269882673816201, 0.6691157993142688, 0.4364502410367044, 0.8796615048458399, 0.7590514690673899, 0.8297143731143253, 0.9862320181638132, 0.5797300515754406, 0.2733604131243682]","[4424378.114340558, 6802762.674629249, 3282864.56666329, 6284841.914352727, 516731.284560941, 2927222.8747357633, 2697757.4267648994, 264891.70207430754, 14750580.566521106, 9623104.919522688]","[0.05838108542059552, 0.08277109920129283, 0.06352459291168423, 0.06993273264503419, 0.032268198441584364, 0.05484621367639181, 0.039174324380450834, 0.01875667613092086, 0.06229717278932002, 0.10502613624558364]","[1338.425920377548, 1781.1766733320471, 1253.4535690972873, 1492.3238889666202, 550.790675884777, 1082.661046981931, 768.05871492311, 363.65195037263703, 1836.588881472263, 2154.2859307228587]"
2,best_rr,stitch_physical,"[0.8226075574918322, 0.7962183000617079, 0.7043508945549738, 0.7865006717710753, 0.6758031073208851, 0.657691369632778, 0.8296296188028218, 0.9907502189299331, 0.4618549337281258, 0.7213728474159551]","[4424645.033457197, 2930748.745784586, 2933279.8919372205, 2380995.6537071103, 1392095.4935504145, 4158621.1343643772, 2699100.150619464, 177962.92010095748, 18887746.2837294, 3689942.53983995]","[0.05942817685484225, 0.06514287641502797, 0.05294147640559201, 0.04845463053501598, 0.04417017696324652, 0.07533830241852969, 0.047573881864381024, 0.013250765597698347, 0.07913907706553339, 0.07246249692336548]","[1354.4450614071854, 1397.3768364087093, 1063.6088070497183, 1031.972451028422, 771.776098244652, 1442.53110344392, 886.8538365227541, 277.2935775328945, 2205.856462664469, 1491.1762246378446]"
3,best_knn,stitch_physical,"[0.8041550111102402, 0.7326424008143987, 0.644518883772877, 0.6709396307482928, 0.8803591936943143, 0.7746224507389597, 0.835130653286635, 0.9857080083513987, 0.6048793915926922, 0.28339421427650135]","[4884901.212060691, 3845084.954765081, 3526902.6389335897, 3669760.0666709035, 513735.4214796044, 2738054.9493091553, 2611949.773309226, 274973.48840767593, 13867892.266989037, 9490224.296208765]","[0.06603989942779591, 0.07142907744881076, 0.07110486642193571, 0.0650935734211187, 0.02591807028809646, 0.04720012388185115, 0.0384827669801503, 0.02073560093229965, 0.07190648688977849, 0.10432146859885821]","[1511.7751336666413, 1516.6160514035273, 1416.472684923434, 1390.9055339519282, 463.28354794583356, 932.5395347909422, 745.3599494436379, 440.012955512642, 2036.3605244376529, 2147.9105032814364]"
4,best_gpr,stitch_physical,"[0.4469629764218257, -1.850601378988788, -8.8169177994251, -2.8504388874208026, -11.874450728277717, -1.3383277250565544, 0.047286313035253213, -1.136784792180555, 0.47501241900500346, -0.35544704824154905]","[13794232.071529493, 40996794.21033895, 97398460.03764959, 42941016.87281898, 55282654.60123222, 28407753.21983091, 15093407.891173773, 41111076.93936132, 18425946.558679022, 17950589.802256726]","[0.12139357885852163, 0.19395303911049144, 0.35738645691316684, 0.20804231429292294, 0.34719982520522713, 0.20864847447464055, 0.21463534059029957, 0.27377330221605384, 0.09609410149613835, 0.18565002594636706]","[2775.7021512469732, 4054.449295463984, 7343.189813966636, 4417.286604186932, 5497.778681784679, 4414.608908167827, 3395.537685222696, 5566.038993136722, 2501.1033178912267, 3633.771752817378]"
5,best_dt,stitch_physical,"[0.5798407029579556, 0.8279327630824901, -0.3690157304512509, 0.768590400437402, 0.7968302361192443, 0.7814814692479944, 0.734292809600241, 0.7478167350058205, 0.2844582310135837, 0.8540269436715986]","[10479903.882220639, 2474637.5113139017, 13582677.031387439, 2580735.2901544236, 872407.2287887232, 2654726.465005186, 4209477.683792037, 4851927.834723666, 25113992.92695271, 1933164.7516088681]","[0.10290707445409404, 0.06220766295382902, 0.13321396296637775, 0.05260351941607466, 0.03180019660494832, 0.050638082494032455, 0.05489396696650286, 0.07594161360036432, 0.08361433245531931, 0.05669911850090326]","[2348.0857833333334, 1267.5177333333334, 2679.709550000001, 1095.1052166666668, 564.4495166666669, 999.2995666666666, 1067.291566666667, 1178.1784916666672, 2431.194066666665, 1153.8605000000007]"
6,best_rf,stitch_physical,"[0.6754258216112754, 0.9121043481483054, 0.29448124107438733, 0.9159955247226118, 0.9465025621309654, 0.7962998499048983, 0.6207311363754735, 0.9946310901971341, 0.9842832241547745, 0.7518846227520217]","[8095753.720342376, 1264098.1575002924, 6999797.905107508, 936838.0321690863, 229717.01412230742, 2474701.6993112923, 6008583.415385277, 103296.16009708999, 551625.3760707962, 3285865.992617471]","[0.07899871028984497, 0.043476395138145135, 0.08615710295108597, 0.03413964322523759, 0.013501605728918231, 0.04098494487043555, 0.053571362561226514, 0.010705171905846514, 0.01795652051347039, 0.058098772087697946]","[1753.0464773379863, 905.5904002539701, 1737.8807539670943, 720.2362710591482, 252.81229953571346, 833.4797224762142, 1062.8266238254982, 219.97573778379805, 471.0448392105227, 1249.0867989620208]"
7,best_etr,stitch_physical,"[0.7956775837436446, 0.9369714279199107, 0.6782855589548222, 0.9412996731090537, 0.9710771909859202, 0.8110364442197484, 0.8053494389382119, 0.9982048321855607, 0.8853120211749339, 0.8330464820165493]","[5096351.070711657, 906464.6561896926, 3191886.880371814, 654640.1075729219, 124194.00987032881, 2295670.535240012, 3083759.952805326, 34538.472198300755, 4025303.9219488106, 2211015.267068218]","[0.06340311761176277, 0.03507258678142481, 0.04701967573508523, 0.030270479403610592, 0.012163188456378022, 0.039389701506454815, 0.04122287010193424, 0.00614060493253437, 0.03531200355886948, 0.049250779503303095]","[1431.218927400855, 756.1120000146417, 925.6840854902115, 643.34330874848, 219.80867037777685, 790.2747187366522, 808.6703640051137, 122.31049374528659, 1023.7133880691478, 1048.297527171694]"
8,best_gbr,stitch_physical,"[0.7376416228579741, 0.8612472412755557, 0.42324425903271123, 0.8218776294797673, 0.736371399308359, 0.7935177414242419, 0.8287083376729657, 0.9831701999857836, 0.5452808418881094, 0.4750479113373308]","[6543924.160432628, 1995515.170051852, 5722276.801724589, 1986463.3465353632, 1132016.3619121488, 2508500.832898256, 2713695.586861868, 323800.13457155373, 15959674.494961178, 6952097.185682318]","[0.07174596533462789, 0.04454925100019894, 0.08985847457217633, 0.04849473928173567, 0.047375699077477684, 0.053135787494168474, 0.04103400395512623, 0.02218043784261602, 0.07551934678512645, 0.09342545976409165]","[1606.967644903596, 896.8847123873744, 1760.7287529567432, 1031.2135499877595, 784.704894555524, 1041.3396595234024, 790.5681062634791, 378.06739345356374, 2081.448559878108, 1909.544477348981]"
9,best_xgb,stitch_physical,"[0.7969599592957585, 0.8345879674189786, 0.623512214044281, 0.690235151194028, -0.007399699716921004, 0.4653715478412299, 0.8314755733112333, 0.9729641482636933, 0.4372547705932419, 0.588815411327015]","[5064365.172454316, 2378923.657871664, 3735320.1202539057, 3454571.8002794962, 4325755.7794301165, 6495066.098084773, 2669855.536287565, 520161.4055471788, 19751159.643716056, 5445440.228634495]","[0.06892939369273744, 0.06103325407415249, 0.08521850391078194, 0.06385877683234209, 0.07320191316796956, 0.09036476074989062, 0.04449567787752917, 0.03026974901819122, 0.08742482729646074, 0.08562846682006182]","[1563.3592942708335, 1273.1268864583337, 1615.653335416667, 1343.3282804687506, 1255.292001302083, 1692.3577742187497, 863.0516903645836, 603.9773859375, 2462.6749726562493, 1758.5318127604169]"
