,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,stitch_simulated,"[0.20874046219117215, 0.18254949867821602, 0.0449936294095542, 0.19973295959156567, 0.17192834197736084, 0.17349797894827002, 0.18436729069937452, 0.16159235158916763, 0.16845848144367281, 0.1659106150624815]","[136689051.46930146, 260040514.68391514, 140087587.97521278, 207012912.0449721, 257657127.358183, 249540147.1875709, 253218964.23487338, 163941659.63068107, 221941328.97909474, 172811586.13634002]","[0.16068407793296877, 0.16053387518949508, 0.16374298461983436, 0.15965658004220332, 0.1558154744352688, 0.15220107234472033, 0.16440582451175087, 0.16459689154000268, 0.16301749690906217, 0.15779126710943567]","[8563.009538296, 11188.68261203297, 8527.978597530722, 9905.89419250701, 11338.060757550455, 11030.870564978375, 11203.93654877032, 9384.281143299748, 10144.25456113479, 8923.088303351493]"
1,best_lr,stitch_simulated,"[0.572966508482774, 0.35156167596669274, 0.04187069759561535, 0.3774006268529694, 0.37186614678268837, 0.49659697652486245, 0.32658937396091614, 0.4150843807962764, 0.3847965567845394, 0.4784630103659847]","[73769477.79075782, 206275774.80195382, 140545683.3332105, 161053876.72440076, 195445844.14694986, 151989059.15898737, 209065108.94663516, 114374001.16509598, 164199942.79636857, 108055126.98639314]","[0.09444850624001705, 0.10702709491634109, 0.11590547477791403, 0.1200112733166993, 0.11042849957272848, 0.0926911549311989, 0.11542130346105016, 0.08868109304226544, 0.12136672822324594, 0.10652107317728748]","[5135.980688909251, 8612.752429018748, 6460.588891635306, 7974.102738729957, 8873.385842890175, 7651.743415280115, 8812.771825256992, 6145.16085894391, 8100.458105507746, 6221.133967400149]"
2,best_rr,stitch_simulated,"[0.522321347516429, 0.3194438573228642, 0.08911929076753689, 0.3562695048340415, 0.3303064751355783, 0.44726777580824684, 0.2812240100544461, 0.3651585732593835, 0.3557168023938142, 0.40454696787195243]","[82518363.18577006, 216492826.57103476, 133614900.82064533, 166520070.98586044, 208377268.02409813, 166882690.02005342, 223149108.1898539, 124136459.51279162, 171961430.57760197, 123369491.10010463]","[0.10082893981576156, 0.11619918032927945, 0.12371254030326152, 0.12341678337893557, 0.11742879127238275, 0.09280866703722306, 0.12307079110592249, 0.10256940112068362, 0.13103462666906582, 0.1212317449547476]","[5610.345668871135, 9109.922652230049, 6740.7541828923895, 8138.2312219776895, 9359.60532965022, 7920.132615025883, 9336.048659949078, 6781.711312363754, 8510.951512991878, 6989.22966657258]"
3,best_knn,stitch_simulated,"[0.8037846906375946, 0.871517447417273, 0.7956926928088336, 0.874727375863936, 0.8833998377880161, 0.8566543924286856, 0.8247044281209494, 0.8252531297870892, 0.8744504738469975, 0.6798038977007361]","[33895938.36021817, 40871794.74168996, 29969347.589195732, 32405496.431149203, 36280510.93642982, 43279366.65722773, 54421754.596176244, 34169883.793729104, 33509606.033225983, 66340127.703644864]","[0.08736446438973512, 0.10696218143692277, 0.08709904584155483, 0.09021592845901198, 0.08527702766989735, 0.09146510892874891, 0.1100743981603724, 0.10140769621403227, 0.08324100964541194, 0.12456649972428359]","[3852.4075795684616, 4532.929294820283, 3676.4835916117477, 3887.3629226987127, 3986.2179338728874, 4447.505615514158, 4853.932486675226, 4000.904434957744, 3677.598210741071, 5672.62762019793]"
4,best_gpr,stitch_simulated,"[0.8992299960288608, 0.9031619860963994, 0.8303861860681716, 0.8920507324324217, 0.9248964046588632, 0.8569226471901923, 0.8878223927092217, 0.8407039687668778, 0.854679302904824, 0.8337729338028341]","[17407886.54190057, 30805298.83551662, 24880242.491257887, 27924294.146715086, 23368722.310913417, 43198374.31726351, 34826334.45742252, 31148637.27977587, 38786600.454379, 34439909.54335726]","[0.075584582802711, 0.07378029622661499, 0.0763466375978747, 0.07101508628477181, 0.060335367968131555, 0.06788494343036053, 0.06360186577818837, 0.07826593496023955, 0.07585308686935945, 0.08824391290370191]","[3181.9147979275717, 3694.2743208372704, 3535.8871747654953, 3529.2054578058633, 3195.911991515694, 3958.1139281986593, 3698.537772985339, 3828.6266514214426, 4029.05193580482, 4042.8027815632818]"
5,best_dt,stitch_simulated,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,best_rf,stitch_simulated,"[0.9998142276654894, 0.9999486756771974, 0.9998940645111257, 0.9998652845068183, 0.9999267628618578, 0.9999661987382589, 0.999905273691139, 0.9999020519023117, 0.9999743188040484, 0.9999011865657798]","[32091.928097070984, 16326.86419033009, 15539.422117355403, 34848.17583750511, 22787.968223319625, 10205.385607268918, 29408.45498475966, 19152.704204362977, 6854.4006908466245, 20472.75340935821]","[0.002948153560368981, 0.0015055793333916328, 0.001775082624263225, 0.0019463508868448783, 0.0017359651732001295, 0.001059008984111481, 0.00247474188276952, 0.002270937367178961, 0.0013980954295552122, 0.0017946822274778765]","[120.4820678598594, 61.31777282309167, 72.10809244253899, 87.25708090606243, 75.66300861000907, 46.189846343753366, 94.26876709217989, 89.41889045279027, 48.82450571309391, 77.53804747955223]"
7,best_etr,stitch_simulated,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,best_gbr,stitch_simulated,"[0.9992016908509268, 0.9995318485927073, 0.999990274458085, 0.9993878857206372, 0.9997687071046621, 0.9997613110882536, 0.9984083000696437, 0.9999915204132759, 0.9995189027417231, 0.9997133171610214]","[137906.8626057383, 148924.4091300286, 1426.616356271498, 158341.5948388184, 71967.51925240835, 72065.72355797589, 494154.5417951084, 1658.0926034940505, 128406.53471587466, 59396.65102640458]","[0.0026570265422538927, 0.003031941659290907, 0.0003144332108120826, 0.0034199832367780817, 0.0010058257466573567, 0.0008876750590942708, 0.006227685500509701, 0.0005604126816819156, 0.0026855682909868554, 0.001373851527014821]","[70.46509871118872, 93.98510071720403, 12.474205802629934, 126.44096752714275, 69.02427164496271, 56.51149715763595, 227.71450909565797, 20.202195699216848, 110.7654741119231, 76.86457983847197]"
9,best_xgb,stitch_simulated,"[0.9981915910551236, 0.9990551224307684, 0.998426779887697, 0.9991622333095916, 0.9988504158611684, 0.9991780969320095, 0.999228197518059, 0.9979730937967279, 0.998789309518528, 0.9987728162671636]","[312400.28275460476, 300576.5474716472, 230771.8751136316, 216713.31372988378, 357696.75727722544, 248151.61649484443, 239611.559029526, 396339.85628589074, 323137.5084033595, 254255.20475609077]","[0.009317615696113639, 0.008997596905449852, 0.006836189573553282, 0.007530001956245373, 0.009784207237507446, 0.007540684650541119, 0.008056346046700665, 0.007503315609696209, 0.005843958947923215, 0.008895567825738323]","[379.104120016098, 387.986873626709, 312.6217269897461, 309.52922375996906, 467.6416184107463, 342.5038608312607, 367.8606063524882, 384.648076693217, 358.26659538348514, 374.0830587546031]"
