,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,svm_physical,"[0.3860817843050499, 0.606153679853983, 0.3428315715366935, 0.6984258572825444, -0.8998172497473771, 0.5099042686928941, -0.40286278435049594, 0.45818951966571175, 0.6886575851505803, 0.5657930226787475]","[11919165.678956317, 8708334.46592358, 24114105.568009123, 5884641.801911849, 33322628.326704025, 6093558.284216132, 27056925.298065618, 12994033.427186938, 5714886.913932445, 12894375.690508716]","[0.06763686746977163, 0.061695367158961706, 0.08513702578388976, 0.04615499044615436, 0.15815968929415744, 0.0436971707762544, 0.14252478341538735, 0.08295442463775839, 0.04071461264349922, 0.07245288744057315]","[2025.7380173666934, 2249.2692079872104, 3588.7084825350025, 1649.5461528583892, 4728.553290501744, 1424.189968036344, 4254.491572642165, 2653.6121091129958, 1401.9781046943779, 2800.3182972160107]"
1,best_lr,svm_physical,"[0.99922632636046, 0.9303403948208646, 0.8249906332813988, 0.9665716037727938, 0.9930390747888449, 0.9441695399970801, 0.9993827438567592, 0.9421777334877497, 0.9932547627842857, 0.9039594811506036]","[15020.802535854325, 1540243.2614812588, 6421784.981836528, 652291.1282675556, 122094.01912323332, 694162.6713520765, 11904.979976477649, 1386729.2921914777, 123813.09470506747, 2852055.8080283217]","[0.0033507977663494912, 0.019199848794019928, 0.036634793030640024, 0.011801863251754844, 0.006346938194677329, 0.012817924330495426, 0.002663848426455543, 0.01972682469924864, 0.006632786457199856, 0.030023990032929878]","[118.75979411937988, 803.5473245374773, 1690.9215710168908, 471.9978645499893, 229.41549076983938, 501.8304537018624, 90.1231608840626, 775.3533364078521, 255.75392116223034, 1248.778568011029]"
2,best_rr,svm_physical,"[0.9992812875795799, 0.9049200948394939, 0.8748522134843973, 0.8878625577134034, 0.7878967823987072, 0.5624985028112532, 0.998820717255511, 0.9315249282097178, 0.7516699290524854, 0.829955873223386]","[13953.735522920819, 2102311.416338758, 4592166.642418691, 2188147.413743733, 3720271.8777112556, 5439632.917106362, 22744.751289207077, 1642211.444900404, 4558255.493329587, 5049695.120398597]","[0.0026794946320953324, 0.024204969400516266, 0.03586351311491376, 0.02188786562778106, 0.025711008699281765, 0.03497902980446573, 0.00442610081457254, 0.022468023168777457, 0.031538394727677714, 0.04451809282635224]","[92.83614852677904, 1026.7711581597152, 1593.701996523149, 911.1661913533384, 947.6135492194595, 1355.8360318882605, 140.3751611102398, 869.6097447908045, 1264.9982817692223, 1807.9488750195578]"
3,best_knn,svm_physical,"[0.9993418975996776, 0.966790584149034, 0.834126802336335, 0.9631073885603062, 0.9841748538714084, 0.9154110453572308, 0.9996666277396881, 0.9435408304541938, 0.9879996306896099, 0.9271648122084086]","[12776.997558675437, 734293.2658122513, 6086542.849780557, 719888.6532626707, 277571.67839641415, 1051728.6570562618, 6429.72958177395, 1354038.6592315116, 220274.3675880909, 2162941.4632337494]","[0.0027465006002319373, 0.013120463375396548, 0.03442747574428181, 0.011778987347954023, 0.00918940486700154, 0.018642829513150567, 0.002212813539426164, 0.01957550079755638, 0.0075725367970308904, 0.027968218179777102]","[93.64895833333382, 551.6394750000018, 1592.3812277777768, 465.6506500000002, 340.90213611111176, 731.3740083333329, 74.29875277777803, 766.301499999999, 296.9862999999993, 1134.1914027777777]"
4,best_gpr,svm_physical,"[0.9955208050804074, 0.9170310605827265, 0.34585787199218376, 0.8596445152706782, 0.1674499699847818, 0.932011749379012, 0.8001812012756314, 0.8026272169613718, 0.9655512024347855, 0.9099245290979715]","[86963.15729046887, 1834525.8994947465, 24003058.64989279, 2738768.467094976, 14602854.678402573, 845325.3952976787, 3853892.462289225, 4733515.931324345, 632329.4643338858, 2674915.473435422]","[0.0070513467244557254, 0.022267067313777828, 0.06944465591494293, 0.03054232336732257, 0.09090250669632736, 0.01488629981411619, 0.049542131933236894, 0.05096407233429725, 0.01602909560050746, 0.036577010410519466]","[253.65396399820506, 942.5478856587439, 3166.013308060339, 1214.1211062540613, 2859.4335362557963, 591.5843275015935, 1494.9550994226217, 1748.067570887515, 558.6205867176565, 1411.6102006519322]"
5,best_dt,svm_physical,"[0.9990138439743523, 0.9010913592019252, 0.8404152877057178, 0.9938914742463947, 0.9546283727343546, 0.9399452831631201, 0.9996767175840854, 0.9489629959793948, 0.9534137475755906, 0.7388079130581409]","[19146.12851435011, 2186968.575255941, 5855793.480985145, 119196.18065995496, 795814.3722254824, 746684.5636700973, 6235.127394607559, 1224000.938221146, 855120.1238616171, 7756459.643264934]","[0.003247313280696494, 0.020212396133447913, 0.03288508220950415, 0.006530386537587224, 0.014652823747296373, 0.011363757241774984, 0.0021796328507414707, 0.01907610443028093, 0.013197307932935312, 0.047363541643598184]","[119.08703842592392, 858.703577146464, 1530.3987833333333, 252.59364999999949, 550.9956500000002, 451.521238095238, 73.01615000000008, 743.911506666666, 521.0453718253981, 1878.8301833333323]"
6,best_rf,svm_physical,"[0.9994663146275203, 0.988322734879561, 0.9957503780589537, 0.9826300358011731, 0.9959880129194651, 0.9633873937850008, 0.9997248501966609, 0.9736123287773987, 0.995063605592709, 0.9823918459249394]","[10361.45240912798, 258195.96404593837, 155935.4157504833, 338941.5833236568, 70369.90234401733, 455219.3289117851, 5306.796757153573, 632845.4217433146, 90610.64106501815, 522898.44640661025]","[0.002224635677030179, 0.008210378737821976, 0.006266109262133101, 0.007127171036260414, 0.0051361246981296285, 0.00994761771835799, 0.0015044373977667457, 0.012970507603356128, 0.004696383179981301, 0.012906260245341397]","[75.53961833333233, 339.6751600000013, 252.45418833333738, 283.5801008333353, 184.48788749999827, 391.2893008333328, 49.60454166666447, 513.8654350000015, 189.21591166666136, 494.2725891666657]"
7,best_etr,svm_physical,"[0.999564782126562, 0.9994448190900735, 0.998810063090853, 0.9984629361645153, 0.9988417644284217, 0.9879015596675864, 0.9997901314508965, 0.9889901503433735, 0.9965520522774852, 0.9954284548842208]","[8449.714973970493, 12275.602958390344, 43663.48565091573, 29992.856870936663, 20315.3505799594, 150424.79785949658, 4047.721358677232, 264045.0114184597, 63289.26088934185, 135758.3440335967]","[0.0023263028611821206, 0.002543111301610107, 0.0037912487390430343, 0.0031048609539310787, 0.00222841286041373, 0.007463672490944223, 0.0015820601914018015, 0.008516690672948484, 0.00441369371932586, 0.007844318706859869]","[79.40664567476051, 101.70408297871472, 161.4626388229602, 121.77054081386511, 80.86625424642564, 292.5281730526537, 54.790206553107055, 338.10289846447023, 180.7019728269685, 321.4407215356853]"
8,best_gbr,svm_physical,"[0.998079671406554, 0.9411809091092973, 0.8381346414646319, 0.9883656475652242, 0.8867159709805322, 0.9485627085049477, 0.9985390441387859, 0.9099813838445805, 0.9961622858260498, 0.913635832277301]","[37283.00297688803, 1300548.6918549754, 5939479.400513309, 227022.10494220137, 1986991.9566575342, 639540.6319319872, 28177.362776746126, 2158882.025816376, 70443.67058927107, 2564703.2014196995]","[0.003611288444777532, 0.017138708573300382, 0.03293090830522609, 0.008162595994420834, 0.031526341152319594, 0.011254102667548081, 0.0031532406751749328, 0.031263528038939364, 0.004052708311344958, 0.02915257370758699]","[129.90203531007865, 722.288797876928, 1528.0341836712462, 320.6240424969316, 1003.5053708101708, 444.47278758074634, 112.2695567998938, 1109.6405132077882, 152.54732163826034, 1213.1337517642871]"
9,best_xgb,svm_physical,"[0.9987943146103301, 0.9339308508425191, 0.8181810560224154, 0.939131686473882, 0.9653818545917754, 0.9445572921147374, 0.9994927719605426, 0.9709491117746197, 0.9615332970485444, 0.8888444201531409]","[23408.270920752486, 1460854.702232655, 6671655.270463467, 1187728.5597500855, 607199.2413751669, 689341.5925753411, 9782.87493672135, 696716.3360464313, 706080.6585756127, 3300918.4133430272]","[0.00330800033994476, 0.02083152381383893, 0.03769353934165601, 0.016436704825644202, 0.010237250357569132, 0.01292489494716286, 0.0023306433759279917, 0.012777896661145033, 0.01296266824577813, 0.03232853334947264]","[118.23909479166711, 879.0616880208327, 1735.866513541666, 675.8294848958327, 374.27869583333387, 494.78392291666813, 80.97348750000067, 497.8383770833328, 515.0126989583345, 1335.8189255208326]"
