,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,svm_simulated,"[0.14272757819003912, 0.1832216340100422, 0.09717515393336895, 0.1788839213305935, 0.1803715199627982, 0.18178816119296437, 0.17823759333690148, 0.1553761481626239, 0.16585309365651413, 0.10292991600913415]","[505556124.7824214, 746107525.2779908, 498204225.71362716, 686046903.1086698, 902896258.8456582, 751611442.2568754, 726115310.4762663, 683232688.460921, 727560857.4049009, 726363576.836504]","[0.1775234815898532, 0.14694021302932048, 0.16878366204431441, 0.1444222345705345, 0.1857696248220836, 0.16906610088835838, 0.15089766374629654, 0.175441986497631, 0.1531758810989394, 0.18276365117301682]","[15914.628364436969, 18798.85295390522, 16551.23762166442, 18346.617947515108, 22975.752800603503, 20191.143088961606, 19601.052476431247, 19287.721377671343, 19227.40095344371, 18538.14538564398]"
1,best_lr,svm_simulated,"[0.8984619173254197, 0.9084443703223861, 0.6643408468717795, 0.8797273397189852, 0.8437853554760304, 0.8933904223838376, 0.886540779536059, 0.8545744342945085, 0.819645663871405, 0.7374079405612547]","[59879681.52109459, 83633880.5340891, 185226192.23041973, 100488454.99182113, 172084818.3694088, 97931824.7305115, 100253402.23107235, 117637573.23661743, 157308927.75903773, 212622526.318393]","[0.07280532335179768, 0.06218423063887397, 0.08041798162705782, 0.07972070581405773, 0.08098417049837571, 0.07238708419552929, 0.08267744319654229, 0.06880803546119292, 0.08714795717585293, 0.09054085683764197]","[4969.821169790849, 5566.43319034919, 6106.730236055792, 6282.153541903787, 7836.1580869616155, 6176.6159358007135, 6240.993183748066, 5952.488613136527, 7508.52355031635, 8013.947011441171]"
2,best_rr,svm_simulated,"[0.46268815478456504, 0.7238325353670568, 0.5116074741287542, 0.8183871870608312, 0.7347793120987143, 0.7320382487846661, 0.7785346573928126, 0.6578079201001518, 0.8268671323221741, 0.16091135558996417]","[316866946.0908246, 252272381.5656445, 269508777.09678036, 151738482.68039405, 292165014.6462379, 246150335.0944955, 195688406.65265223, 276805839.9149055, 151010207.78800127, 679415621.9379319]","[0.12973083635146662, 0.11013511594985946, 0.15257025688760859, 0.11233599345449657, 0.13393727978791134, 0.15031972093282434, 0.11629713175215883, 0.14123582181167232, 0.12140609694517678, 0.19494608571946972]","[9232.117351482711, 10048.401773515494, 12372.585698716299, 8880.834882711073, 12196.376775050792, 11659.562032431291, 9790.910798602457, 10262.578799173962, 9355.08486448459, 15052.003592780131]"
3,best_knn,svm_simulated,"[0.851223410787364, 0.8915617579924217, 0.8470866211701983, 0.8850722220230868, 0.9191388430746199, 0.8854438866639138, 0.8543868615476033, 0.881826580807688, 0.9012192260596378, 0.8046366135199202]","[87737472.92824967, 99055743.58805299, 84381917.3044042, 96022777.05971777, 89076011.69562042, 105231532.32470362, 128664840.80979975, 95592781.00392592, 86158713.81482454, 158187025.4275562]","[0.09232990370076109, 0.10752777011429034, 0.09694322431954973, 0.09762057594047228, 0.08568899230402134, 0.09011147215569298, 0.1105894290722536, 0.10911935730536987, 0.08493471324785902, 0.12584827448581634]","[6324.881468859517, 6844.372745613433, 6245.096012011806, 6312.331868559301, 6193.678933929936, 6701.05693728105, 7473.773553051142, 6788.792883494789, 5823.055513456292, 8620.317545474105]"
4,best_gpr,svm_simulated,"[0.8858268367305863, 0.9111306190867791, 0.850327926072135, 0.921315738996565, 0.9344646191748183, 0.8909181726219485, 0.8925640662788458, 0.8785742341198004, 0.859244690720231, 0.8335755181772443]","[67330921.31293474, 81180056.45972951, 82593273.79729806, 65741123.55986931, 72193257.81163236, 100202839.54723899, 94931181.73538685, 98223667.60100524, 122769805.56433432, 134755003.03404322]","[0.07899402732262888, 0.06617967722441415, 0.07495321851141402, 0.06305571683273808, 0.06736855778158904, 0.06852096691013834, 0.05996238444841285, 0.07548395511949164, 0.07051716348402608, 0.10007821473657146]","[5570.689092778029, 5653.283415816625, 6453.151903845944, 5373.430087082012, 5834.632080176273, 6289.378154916478, 6360.889896327459, 6717.405311660407, 7470.452263151808, 7715.225820592386]"
5,best_dt,svm_simulated,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,best_rf,svm_simulated,"[0.9937696748567333, 0.9936531626136882, 0.994882806312026, 0.996645562938801, 0.9966191768774304, 0.9999488051510153, 0.9976284902227708, 0.9954414433090425, 0.999996686450901, 0.9909146812132732]","[3674186.8225671463, 5797684.332522039, 2823811.872536332, 2802650.218757978, 3724288.044564277, 47027.71636453407, 2095483.4928293657, 3687505.3157557286, 2890.1487318634486, 7356442.677553362]","[0.0029706486730984825, 0.0027767154906852593, 0.0009210982451299759, 0.0004328960703086397, 0.0026727619850977005, 0.0005397876098385543, 0.0006552180302121613, 0.003032157368952593, 0.00040286388966418216, 0.00478055197304291]","[329.1781296935812, 543.1973334551652, 309.7002119736454, 281.2545393376798, 328.7842194469152, 46.195134244728855, 249.34555830214572, 334.62089506941646, 22.554228285603283, 601.4564320251507]"
7,best_etr,svm_simulated,"[0.999438377208854, 0.9997586288914182, 0.9993704370147586, 0.9998933074147335, 0.9998085228076031, 0.9998185534658481, 0.9996239755156804, 0.9993740650256899, 0.999910981515871, 0.9998834676826581]","[331203.7511737468, 220486.74156460888, 347410.6200850037, 89142.2292270108, 210929.76254510714, 166677.24024291147, 332258.0017832213, 506330.9949976431, 77643.83485123226, 94356.98765577539]","[0.0036504182608953872, 0.002616606371935957, 0.003858887151793857, 0.002085395416412833, 0.003032578483194976, 0.0029030434556541404, 0.0032927062860421733, 0.0042895402428759265, 0.002203115717728379, 0.0026230530376864943]","[274.1973062056242, 191.8652370727982, 294.28651450291954, 161.15221177512254, 241.09720850624504, 232.0930732168331, 250.82320509230553, 308.7149670094048, 160.3771192723989, 191.58540554122237]"
8,best_gbr,svm_simulated,"[0.9999700625112488, 0.9999819678106394, 0.9999563213840876, 0.9999730863272631, 0.9999842830186049, 0.9999841168387927, 0.9999845801287547, 0.9999652949511321, 0.9999866502991938, 0.9999448618305321]","[17654.925568274797, 16471.97420918068, 24103.092771154654, 22486.51842539712, 17313.702546489683, 14590.311623900465, 13625.111718462786, 28073.59014262547, 11643.895926286974, 44645.74029351064]","[0.0014722426396509122, 0.0013039133427392427, 0.0016192823704338363, 0.0013525949458756785, 0.0013542419669612977, 0.0012239284083391247, 0.001329412888776394, 0.0017194835067587885, 0.0012600164605530207, 0.0017289658708882414]","[98.73107676493368, 88.96197975154921, 116.74959388610718, 95.02940470293026, 98.67670442269706, 86.76910465711295, 91.33151959825761, 121.87592358721457, 82.61860071943455, 125.60449170206341]"
9,best_xgb,svm_simulated,"[0.9989333133914775, 0.9998057675555764, 0.9997568478442963, 0.9999081772159715, 0.9996539366061243, 0.9998436672563, 0.9998951040201216, 0.9995828976801587, 0.9998976688939613, 0.9993034373986557]","[629053.1859445459, 177426.69795369045, 134178.22071548668, 76718.4302610449, 381220.7009199918, 143607.64950022064, 92686.85982652933, 337402.19238242146, 89255.38976709037, 564011.3427394043]","[0.005452030832334555, 0.004785372420723266, 0.003842110069471888, 0.003235442415670043, 0.006635035302355035, 0.003842538299693594, 0.003613818517382445, 0.006691455281531395, 0.003185831929045485, 0.006132605419790424]","[407.6870420773824, 343.0258812904358, 258.1271120707194, 202.21392500400543, 474.48927720387775, 290.9347018400828, 238.72985394795737, 439.6855096022288, 226.30567979812622, 497.71897824605304]"
