models,r2_qsort_s,ape_qsort_s,r2_qsort_p,ape_qsort_p
svr,0.918107725,0.16334893,-0.030197336,0.224167473
lr,-0.4,1.2,-0.6,1.4
rr,0.845162379,0.23445695,0.06122454,0.23756366
knn,0.618169638,0.232887423,-0.342188906,0.21436934
gpr,0.209077518,0.70009461,0.127807204,0.22763376
dt,0.848681632,0.16791379,-0.010784879,0.23040182
rf,0.879629587,0.15850754,0.261504227,0.21243521
etr,0.889580317,0.15448622,0.039260771,0.214084
gbr,0.904770618,0.14167187,0.058789766,0.22161719
xgb,0.836674416,0.19883855,0.134290058,0.23624029
dnn,0.91525209,0.224726887,-0.07560898,0.221345352
