model_name,r2_dijkstra,ape_dijkstra,r2_sha,ape_sha
best_svr,0.234432997,0.133558871,0.138840791,0.139811786
best_lr,0.497400642,0.102197436,-0.740383442,0.215771555
best_rr,0.597931263,0.08388545,0.003594604,0.156974841
best_knn,0.060386261,0.151155483,0.290695118,0.134173464
best_gpr,0.061222489,0.158275214,0.071567137,0.170846016
best_dt,0.279915279,0.125110774,0.371370345,0.127567314
best_rf,0.383678713,0.115232609,0.154590761,0.123744228
best_etr,0.317127425,0.119847679,0.214182497,0.133960517
best_gbr,0.282578586,0.124432083,0.201751653,0.140543616
best_xgb,0.236326883,0.128393455,0.366160021,0.135724251
best_dnn,0.228609006,0.139118102,0.136631894,0.169927317
